memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,02/12/2019,08/12/2019,49,"€216,11",100 KG,S
AT,Austria,02/12/2019,08/12/2019,49,"€204,93",100 KG,E
AT,Austria,02/12/2019,08/12/2019,49,"€212,51",100 KG,Average S + E
BE,Belgium,02/12/2019,08/12/2019,49,"€179,61",100 KG,Average S + E
BE,Belgium,02/12/2019,08/12/2019,49,"€68,50",P,Piglet
BE,Belgium,02/12/2019,08/12/2019,49,"€172,80",100 KG,E
BE,Belgium,02/12/2019,08/12/2019,49,"€180,60",100 KG,S
BG,Bulgaria,02/12/2019,08/12/2019,49,"€206,35",100 KG,E
BG,Bulgaria,02/12/2019,08/12/2019,49,"€206,35",100 KG,Average S + E
HR,Croatia,02/12/2019,08/12/2019,49,"€192,91",100 KG,Average S + E
HR,Croatia,02/12/2019,08/12/2019,49,"€40,54",P,Piglet
HR,Croatia,02/12/2019,08/12/2019,49,"€193,31",100 KG,E
HR,Croatia,02/12/2019,08/12/2019,49,"€192,37",100 KG,S
CY,Cyprus,02/12/2019,08/12/2019,49,"€199,89",100 KG,Average S + E
CY,Cyprus,02/12/2019,08/12/2019,49,"€199,89",100 KG,E
CZ,Czechia,02/12/2019,08/12/2019,49,"€194,78",100 KG,Average S + E
CZ,Czechia,02/12/2019,08/12/2019,49,"€192,78",100 KG,E
CZ,Czechia,02/12/2019,08/12/2019,49,"€198,22",100 KG,S
DK,Denmark,02/12/2019,08/12/2019,49,"€201,32",100 KG,Average S + E
DK,Denmark,02/12/2019,08/12/2019,49,"€196,34",100 KG,E
DK,Denmark,02/12/2019,08/12/2019,49,"€73,74",P,Piglet
DK,Denmark,02/12/2019,08/12/2019,49,"€203,43",100 KG,S
EU+UK,EU + UK,02/12/2019,08/12/2019,49,"€212,78",100 KG,R
EU+UK,EU + UK,02/12/2019,08/12/2019,49,"€196,42",100 KG,S
EU+UK,EU + UK,02/12/2019,08/12/2019,49,"€63,75",P,Piglet
EU+UK,EU + UK,02/12/2019,08/12/2019,49,"€196,05",100 KG,Average S + E
EU+UK,EU + UK,02/12/2019,08/12/2019,49,"€195,34",100 KG,E
EE,Estonia,02/12/2019,08/12/2019,49,"€183,11",100 KG,S
EE,Estonia,02/12/2019,08/12/2019,49,"€175,34",100 KG,E
EE,Estonia,02/12/2019,08/12/2019,49,"€179,44",100 KG,Average S + E
EU,European Union,02/12/2019,08/12/2019,49,"€196,29",100 KG,Average S + E
EU,European Union,02/12/2019,08/12/2019,49,"€195,53",100 KG,E
EU,European Union,02/12/2019,08/12/2019,49,"€63,72",P,Piglet
EU,European Union,02/12/2019,08/12/2019,49,"€212,90",100 KG,R
EU,European Union,02/12/2019,08/12/2019,49,"€196,67",100 KG,S
FI,Finland,02/12/2019,08/12/2019,49,"€170,09",100 KG,Average S + E
FI,Finland,02/12/2019,08/12/2019,49,"€139,87",100 KG,R
FI,Finland,02/12/2019,08/12/2019,49,"€42,07",P,Piglet
FI,Finland,02/12/2019,08/12/2019,49,"€168,25",100 KG,E
FI,Finland,02/12/2019,08/12/2019,49,"€172,38",100 KG,S
FR,France,02/12/2019,08/12/2019,49,"€190,00",100 KG,S
FR,France,02/12/2019,08/12/2019,49,"€43,80",P,Piglet
FR,France,02/12/2019,08/12/2019,49,"€181,00",100 KG,E
FR,France,02/12/2019,08/12/2019,49,"€187,63",100 KG,Average S + E
DE,Germany,02/12/2019,08/12/2019,49,"€209,25",100 KG,Average S + E
DE,Germany,02/12/2019,08/12/2019,49,"€175,61",100 KG,R
DE,Germany,02/12/2019,08/12/2019,49,"€73,80",P,Piglet
DE,Germany,02/12/2019,08/12/2019,49,"€210,78",100 KG,S
DE,Germany,02/12/2019,08/12/2019,49,"€206,69",100 KG,E
EL,Greece,02/12/2019,08/12/2019,49,"€221,37",100 KG,S
EL,Greece,02/12/2019,08/12/2019,49,"€221,37",100 KG,E
EL,Greece,02/12/2019,08/12/2019,49,"€221,37",100 KG,Average S + E
HU,Hungary,02/12/2019,08/12/2019,49,"€209,95",100 KG,Average S + E
HU,Hungary,02/12/2019,08/12/2019,49,"€211,59",100 KG,S
HU,Hungary,02/12/2019,08/12/2019,49,"€36,19",P,Piglet
HU,Hungary,02/12/2019,08/12/2019,49,"€208,67",100 KG,E
IE,Ireland,02/12/2019,08/12/2019,49,"€189,38",100 KG,Average S + E
IE,Ireland,02/12/2019,08/12/2019,49,"€189,31",100 KG,E
IE,Ireland,02/12/2019,08/12/2019,49,"€189,68",100 KG,S
IT,Italy,02/12/2019,08/12/2019,49,"€217,60",100 KG,R
IT,Italy,02/12/2019,08/12/2019,49,"€75,32",P,Piglet
LV,Latvia,02/12/2019,08/12/2019,49,"€206,20",100 KG,E
LV,Latvia,02/12/2019,08/12/2019,49,"€198,61",100 KG,Average S + E
LV,Latvia,02/12/2019,08/12/2019,49,"€194,80",100 KG,S
LT,Lithuania,02/12/2019,08/12/2019,49,"€173,58",100 KG,R
LT,Lithuania,02/12/2019,08/12/2019,49,"€196,71",100 KG,E
LT,Lithuania,02/12/2019,08/12/2019,49,"€200,32",100 KG,Average S + E
LT,Lithuania,02/12/2019,08/12/2019,49,"€201,86",100 KG,S
NL,Netherlands,02/12/2019,08/12/2019,49,"€190,71",100 KG,Average S + E
NL,Netherlands,02/12/2019,08/12/2019,49,"€191,15",100 KG,S
NL,Netherlands,02/12/2019,08/12/2019,49,"€62,00",P,Piglet
NL,Netherlands,02/12/2019,08/12/2019,49,"€190,01",100 KG,E
PL,Poland,02/12/2019,08/12/2019,49,"€58,97",P,Piglet
PL,Poland,02/12/2019,08/12/2019,49,"€190,87",100 KG,E
PL,Poland,02/12/2019,08/12/2019,49,"€192,01",100 KG,Average S + E
PL,Poland,02/12/2019,08/12/2019,49,"€194,18",100 KG,S
PT,Portugal,02/12/2019,08/12/2019,49,"€52,00",P,Piglet
PT,Portugal,02/12/2019,08/12/2019,49,"€204,00",100 KG,E
PT,Portugal,02/12/2019,08/12/2019,49,"€204,43",100 KG,Average S + E
PT,Portugal,02/12/2019,08/12/2019,49,"€205,00",100 KG,S
RO,Romania,02/12/2019,08/12/2019,49,"€216,80",100 KG,Average S + E
RO,Romania,02/12/2019,08/12/2019,49,"€217,76",100 KG,S
RO,Romania,02/12/2019,08/12/2019,49,"€215,43",100 KG,E
SK,Slovakia,02/12/2019,08/12/2019,49,"€210,03",100 KG,Average S + E
SK,Slovakia,02/12/2019,08/12/2019,49,"€210,82",100 KG,S
SK,Slovakia,02/12/2019,08/12/2019,49,"€187,56",100 KG,R
SK,Slovakia,02/12/2019,08/12/2019,49,"€207,75",100 KG,E
SI,Slovenia,02/12/2019,08/12/2019,49,"€210,61",100 KG,E
SI,Slovenia,02/12/2019,08/12/2019,49,"€220,47",100 KG,Average S + E
