memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,04/12/2017,10/12/2017,49,"€159,97",100 KG,Average S + E
AT,Austria,04/12/2017,10/12/2017,49,"€152,09",100 KG,E
AT,Austria,04/12/2017,10/12/2017,49,"€163,99",100 KG,S
BE,Belgium,04/12/2017,10/12/2017,49,"€131,45",100 KG,Average S + E
BE,Belgium,04/12/2017,10/12/2017,49,"€123,70",100 KG,E
BE,Belgium,04/12/2017,10/12/2017,49,"€132,80",100 KG,S
BE,Belgium,04/12/2017,10/12/2017,49,"€38,00",P,Piglet
BG,Bulgaria,04/12/2017,10/12/2017,49,"€180,00",100 KG,Average S + E
BG,Bulgaria,04/12/2017,10/12/2017,49,"€180,00",100 KG,E
HR,Croatia,04/12/2017,10/12/2017,49,"€152,30",100 KG,S
HR,Croatia,04/12/2017,10/12/2017,49,"€150,93",100 KG,Average S + E
HR,Croatia,04/12/2017,10/12/2017,49,"€150,19",100 KG,E
HR,Croatia,04/12/2017,10/12/2017,49,"€40,02",P,Piglet
CY,Cyprus,04/12/2017,10/12/2017,49,"€193,51",100 KG,Average S + E
CY,Cyprus,04/12/2017,10/12/2017,49,"€193,51",100 KG,E
CZ,Czechia,04/12/2017,10/12/2017,49,"€149,39",100 KG,E
CZ,Czechia,04/12/2017,10/12/2017,49,"€150,64",100 KG,Average S + E
CZ,Czechia,04/12/2017,10/12/2017,49,"€153,10",100 KG,S
DK,Denmark,04/12/2017,10/12/2017,49,"€141,01",100 KG,Average S + E
DK,Denmark,04/12/2017,10/12/2017,49,"€143,11",100 KG,S
DK,Denmark,04/12/2017,10/12/2017,49,"€42,19",P,Piglet
DK,Denmark,04/12/2017,10/12/2017,49,"€137,20",100 KG,E
EU+UK,EU + UK,04/12/2017,10/12/2017,49,"€178,80",100 KG,R
EU+UK,EU + UK,04/12/2017,10/12/2017,49,"€143,07",100 KG,S
EU+UK,EU + UK,04/12/2017,10/12/2017,49,"€42,30",P,Piglet
EU+UK,EU + UK,04/12/2017,10/12/2017,49,"€145,15",100 KG,E
EU+UK,EU + UK,04/12/2017,10/12/2017,49,"€143,85",100 KG,Average S + E
EE,Estonia,04/12/2017,10/12/2017,49,"€151,44",100 KG,S
EE,Estonia,04/12/2017,10/12/2017,49,"€146,10",100 KG,E
EE,Estonia,04/12/2017,10/12/2017,49,"€148,83",100 KG,Average S + E
EU,European Union,04/12/2017,10/12/2017,49,"€41,55",P,Piglet
EU,European Union,04/12/2017,10/12/2017,49,"€141,33",100 KG,S
EU,European Union,04/12/2017,10/12/2017,49,"€178,94",100 KG,R
