memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,productName,marketName,stageName
AT,Austria,16/12/2013,22/12/2013,25,"€181,50",TONNES,Feed barley,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,16/12/2013,22/12/2013,25,"€175,50",TONNES,Feed wheat,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,16/12/2013,22/12/2013,25,"€158,00",TONNES,Maize,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,16/12/2013,22/12/2013,25,"€181,00",TONNES,Milling wheat,Wien,Departure from silo - after some storage - on truck or other transport means
BG,Bulgaria,16/12/2013,22/12/2013,25,"€189,18",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,16/12/2013,22/12/2013,25,"€132,94",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,16/12/2013,22/12/2013,25,"€155,95",TONNES,Feed barley,Burgas,Departure from farm or from production area - on truck or other transport means
HR,Croatia,16/12/2013,22/12/2013,25,"€137,82",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,16/12/2013,22/12/2013,25,"€185,08",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,16/12/2013,22/12/2013,25,"€209,72",TONNES,Malting barley,Brno,Delivered to processor after one intermediary - grains exchange quotation
CZ,Czechia,16/12/2013,22/12/2013,25,"€177,62",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
CZ,Czechia,16/12/2013,22/12/2013,25,"€165,61",TONNES,Feed wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,16/12/2013,22/12/2013,25,"€125,00",TONNES,Feed oats,Seinäjoki,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,16/12/2013,22/12/2013,25,"€158,00",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,16/12/2013,22/12/2013,25,"€179,00",TONNES,Milling wheat,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,16/12/2013,22/12/2013,25,"€137,33",TONNES,Feed barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
EL,Greece,16/12/2013,22/12/2013,25,"€190,00",TONNES,Milling wheat,Thessaloniki,Price at farm gate
EL,Greece,16/12/2013,22/12/2013,25,"€230,00",TONNES,Durum wheat,Thessaloniki,Price at farm gate
EL,Greece,16/12/2013,22/12/2013,25,"€145,00",TONNES,Maize,Serres,Price at farm gate
EL,Greece,16/12/2013,22/12/2013,25,"€190,00",TONNES,Feed barley,Thessaloniki,Price at farm gate
IT,Italy,16/12/2013,22/12/2013,25,"€217,50",TONNES,Milling wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,16/12/2013,22/12/2013,25,"€215,00",TONNES,Feed barley,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,16/12/2013,22/12/2013,25,"€278,50",TONNES,Durum wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,16/12/2013,22/12/2013,25,"€186,00",TONNES,Maize,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,16/12/2013,22/12/2013,25,"€102,58",TONNES,Feed oats,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,16/12/2013,22/12/2013,25,"€170,37",TONNES,Feed barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,16/12/2013,22/12/2013,25,"€184,05",TONNES,Milling wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,16/12/2013,22/12/2013,25,"€133,97",TONNES,Feed rye,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,16/12/2013,22/12/2013,25,"€180,28",TONNES,Feed wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,16/12/2013,22/12/2013,25,"€188,45",TONNES,Malting barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€141,62",TONNES,Feed rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€124,24",TONNES,Milling rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€197,60",TONNES,Malting barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€191,85",TONNES,Feed wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€193,13",TONNES,Feed barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€189,15",TONNES,Milling wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€194,43",TONNES,Milling wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€163,05",TONNES,Maize,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€183,48",TONNES,Milling wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€131,88",TONNES,Feed oats,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€184,97",TONNES,Feed wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€181,53",TONNES,Feed wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,16/12/2013,22/12/2013,25,"€162,36",TONNES,Maize,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PT,Portugal,16/12/2013,22/12/2013,25,"€212,00",TONNES,Feed barley,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,16/12/2013,22/12/2013,25,"€184,00",TONNES,Maize,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,16/12/2013,22/12/2013,25,"€228,00",TONNES,Feed wheat,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
RO,Romania,16/12/2013,22/12/2013,25,"€125,11",TONNES,Maize,Oltenia,Departure from silo - after some storage - on truck or other transport means
RO,Romania,16/12/2013,22/12/2013,25,"€158,31",TONNES,Feed wheat,Oltenia,Departure from silo - after some storage - on truck or other transport means
RO,Romania,16/12/2013,22/12/2013,25,"€156,74",TONNES,Milling wheat,Banat,Departure from silo - after some storage - on truck or other transport means
RO,Romania,16/12/2013,22/12/2013,25,"€179,13",TONNES,Feed barley,Muntenia,Departure from silo - after some storage - on truck or other transport means
SK,Slovakia,16/12/2013,22/12/2013,25,"€155,78",TONNES,Milling wheat,Bratislava,Departure from farm or from production area - on truck or other transport means
SK,Slovakia,16/12/2013,22/12/2013,25,"€144,19",TONNES,Maize,Bratislava,Departure from farm or from production area - on truck or other transport means
