memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,category,productCode
AT,Austria,04/12/2017,10/12/2017,49,€268.59,€/100Kg,Cows,D O2
AT,Austria,04/12/2017,10/12/2017,49,€348.31,€/100Kg,Bulls,B R3
AT,Austria,04/12/2017,10/12/2017,49,€389.21,€/100Kg,Heifers,E U2
AT,Austria,04/12/2017,10/12/2017,49,€469.38,€/100Kg,Young cattle,Z R2
AT,Austria,04/12/2017,10/12/2017,49,€302.45,€/100Kg,Heifers,E O2
AT,Austria,04/12/2017,10/12/2017,49,€298.36,€/100Kg,Heifers,E O4
AT,Austria,04/12/2017,10/12/2017,49,€495.46,€/100Kg,Young cattle,Z U2
AT,Austria,04/12/2017,10/12/2017,49,€412.09,€/100Kg,Young bulls,A R3
AT,Austria,04/12/2017,10/12/2017,49,€415.28,€/100Kg,Young bulls,A U2
AT,Austria,04/12/2017,10/12/2017,49,€274.91,€/100Kg,Cows,D O3
AT,Austria,04/12/2017,10/12/2017,49,€369.62,€/100Kg,Heifers,E R3
AT,Austria,04/12/2017,10/12/2017,49,€398.16,€/100Kg,Adult male indicative price,ACZ URO
AT,Austria,04/12/2017,10/12/2017,49,€463.70,€/100Kg,Young cattle,Z R3
AT,Austria,04/12/2017,10/12/2017,49,€239.61,€/100Kg,Cows,D P2
AT,Austria,04/12/2017,10/12/2017,49,€367.40,€/100Kg,Heifers,E R2
AT,Austria,04/12/2017,10/12/2017,49,€245.92,€/100Kg,Cows,D P3
AT,Austria,04/12/2017,10/12/2017,49,€299.53,€/100Kg,Heifers,E O3
AT,Austria,04/12/2017,10/12/2017,49,€280.09,€/100Kg,Cows,D O4
AT,Austria,04/12/2017,10/12/2017,49,€301.52,€/100Kg,Cows,D R3
AT,Austria,04/12/2017,10/12/2017,49,€309.13,€/100Kg,Cows,D R4
AT,Austria,04/12/2017,10/12/2017,49,€393.27,€/100Kg,Steers,C O3
AT,Austria,04/12/2017,10/12/2017,49,€382.58,€/100Kg,Heifers,E U3
AT,Austria,04/12/2017,10/12/2017,49,€492.05,€/100Kg,Young cattle,Z U3
AT,Austria,04/12/2017,10/12/2017,49,€364.59,€/100Kg,Young bulls,A O3
AT,Austria,04/12/2017,10/12/2017,49,€441.61,€/100Kg,Steers,C R3
AT,Austria,04/12/2017,10/12/2017,49,€432.00,€/100Kg,Steers,C R4
AT,Austria,04/12/2017,10/12/2017,49,€451.11,€/100Kg,Steers,C U3
AT,Austria,04/12/2017,10/12/2017,49,€353.41,€/100Kg,Young bulls,A O2
AT,Austria,04/12/2017,10/12/2017,49,€402.27,€/100Kg,Young bulls,A R2
AT,Austria,04/12/2017,10/12/2017,49,€419.24,€/100Kg,Young bulls,A U3
AT,Austria,04/12/2017,10/12/2017,49,€462.21,€/100Kg,Steers,C U4
AT,Austria,04/12/2017,10/12/2017,49,€477.11,€/100Kg,Steers,C U2
AT,Austria,04/12/2017,10/12/2017,49,€422.00,€/100Kg,Young cattle,Z O3
AT,Austria,04/12/2017,10/12/2017,49,€355.82,€/100Kg,Heifers,E R4
BE,Belgium,04/12/2017,10/12/2017,49,€299.99,€/100Kg,Young bulls,A R3
BE,Belgium,04/12/2017,10/12/2017,49,€363.58,€/100Kg,Young bulls,A U2
BE,Belgium,04/12/2017,10/12/2017,49,€283.01,€/100Kg,Cows,D O2
BE,Belgium,04/12/2017,10/12/2017,49,€242.34,€/100Kg,Cows,D P2
BE,Belgium,04/12/2017,10/12/2017,49,€323.82,€/100Kg,Young bulls,A R2
BE,Belgium,04/12/2017,10/12/2017,49,€306.61,€/100Kg,Cows,D R3
BE,Belgium,04/12/2017,10/12/2017,49,€321.50,€/100Kg,Heifers,E R3
BE,Belgium,04/12/2017,10/12/2017,49,€337.67,€/100Kg,Adult male indicative price,ACZ URO
BE,Belgium,04/12/2017,10/12/2017,49,€611.75,€/100Kg,Calves slaughtered <8M,CALVES-LT8MONTHS
BE,Belgium,04/12/2017,10/12/2017,49,€332.50,€/100Kg,Heifers,E R2
BE,Belgium,04/12/2017,10/12/2017,49,€377.50,€/100Kg,Heifers,E U2
BE,Belgium,04/12/2017,10/12/2017,49,€342.71,€/100Kg,Young bulls,A U3
BE,Belgium,04/12/2017,10/12/2017,49,€356.50,€/100Kg,Heifers,E U3
BE,Belgium,04/12/2017,10/12/2017,49,€277.39,€/100Kg,Cows,D O3
BE,Belgium,04/12/2017,10/12/2017,49,€230.60,€/100Kg,Cows,D P3
BE,Belgium,04/12/2017,10/12/2017,49,€294.05,€/100Kg,Young bulls,A O2
BE,Belgium,04/12/2017,10/12/2017,49,€275.96,€/100Kg,Young bulls,A O3
BE,Belgium,04/12/2017,10/12/2017,49,€276.05,€/100Kg,Cows,D O4
BG,Bulgaria,04/12/2017,10/12/2017,49,€216.52,€/100Kg,Cows,D P3
BG,Bulgaria,04/12/2017,10/12/2017,49,€206.03,€/100Kg,Cows,D P2
BG,Bulgaria,04/12/2017,10/12/2017,49,€219.96,€/100Kg,Cows,D O3
BG,Bulgaria,04/12/2017,10/12/2017,49,€216.52,€/100Kg,Cows,D O4
BG,Bulgaria,04/12/2017,10/12/2017,49,€271.30,€/100Kg,Young bulls,A O2
HR,Croatia,04/12/2017,10/12/2017,49,€336.68,€/100Kg,Adult male indicative price,ACZ URO
HR,Croatia,04/12/2017,10/12/2017,49,€219.98,€/100Kg,Cows,D R4
HR,Croatia,04/12/2017,10/12/2017,49,€346.86,€/100Kg,Young bulls,A O2
HR,Croatia,04/12/2017,10/12/2017,49,€194.82,€/100Kg,Cows,D O3
HR,Croatia,04/12/2017,10/12/2017,49,€367.65,€/100Kg,Heifers,E R3
HR,Croatia,04/12/2017,10/12/2017,49,€365.27,€/100Kg,Heifers,E U2
HR,Croatia,04/12/2017,10/12/2017,49,€339.18,€/100Kg,Young bulls,A U2
HR,Croatia,04/12/2017,10/12/2017,49,€358.78,€/100Kg,Young bulls,A O3
HR,Croatia,04/12/2017,10/12/2017,49,€347.26,€/100Kg,Heifers,E R2
HR,Croatia,04/12/2017,10/12/2017,49,€341.56,€/100Kg,Young bulls,A R3
HR,Croatia,04/12/2017,10/12/2017,49,€204.22,€/100Kg,Cows,D P2
HR,Croatia,04/12/2017,10/12/2017,49,€219.98,€/100Kg,Cows,D O2
HR,Croatia,04/12/2017,10/12/2017,49,€242.89,€/100Kg,Cows,D R3
HR,Croatia,04/12/2017,10/12/2017,49,€372.15,€/100Kg,Heifers,E U3
HR,Croatia,04/12/2017,10/12/2017,49,€350.04,€/100Kg,Young bulls,A U3
HR,Croatia,04/12/2017,10/12/2017,49,€344.08,€/100Kg,Young bulls,A R2
HR,Croatia,04/12/2017,10/12/2017,49,€365.00,€/100Kg,Heifers,E R4
CY,Cyprus,04/12/2017,10/12/2017,49,€163.00,€/100Kg,Cows,D P2
CY,Cyprus,04/12/2017,10/12/2017,49,€163.00,€/100Kg,Cows,D P3
CY,Cyprus,04/12/2017,10/12/2017,49,€305.00,€/100Kg,Young bulls,A O2
CY,Cyprus,04/12/2017,10/12/2017,49,€317.00,€/100Kg,Young bulls,A O3
CY,Cyprus,04/12/2017,10/12/2017,49,€205.00,€/100Kg,Heifers,E O3
CZ,Czechia,04/12/2017,10/12/2017,49,€256.33,€/100Kg,Young cattle,Z O2
CZ,Czechia,04/12/2017,10/12/2017,49,€279.51,€/100Kg,Cows,D R3
CZ,Czechia,04/12/2017,10/12/2017,49,€339.93,€/100Kg,Bulls,B R3
CZ,Czechia,04/12/2017,10/12/2017,49,€251.52,€/100Kg,Cows,D O3
CZ,Czechia,04/12/2017,10/12/2017,49,€254.26,€/100Kg,Heifers,E O2
CZ,Czechia,04/12/2017,10/12/2017,49,€343.57,€/100Kg,Young bulls,A R2
CZ,Czechia,04/12/2017,10/12/2017,49,€354.94,€/100Kg,Young bulls,A U2
CZ,Czechia,04/12/2017,10/12/2017,49,€199.03,€/100Kg,Cows,D P3
CZ,Czechia,04/12/2017,10/12/2017,49,€343.37,€/100Kg,Young bulls,A R3
CZ,Czechia,04/12/2017,10/12/2017,49,€243.82,€/100Kg,Cows,D O2
CZ,Czechia,04/12/2017,10/12/2017,49,€339.32,€/100Kg,Adult male indicative price,ACZ URO
CZ,Czechia,04/12/2017,10/12/2017,49,€286.78,€/100Kg,Heifers,E R4
CZ,Czechia,04/12/2017,10/12/2017,49,€353.50,€/100Kg,Young bulls,A U3
CZ,Czechia,04/12/2017,10/12/2017,49,€287.17,€/100Kg,Heifers,E R3
CZ,Czechia,04/12/2017,10/12/2017,49,€280.80,€/100Kg,Cows,D R4
CZ,Czechia,04/12/2017,10/12/2017,49,€195.08,€/100Kg,Cows,D P2
CZ,Czechia,04/12/2017,10/12/2017,49,€267.19,€/100Kg,Heifers,E O3
CZ,Czechia,04/12/2017,10/12/2017,49,€325.78,€/100Kg,Young bulls,A O2
CZ,Czechia,04/12/2017,10/12/2017,49,€333.33,€/100Kg,Steers,C R3
CZ,Czechia,04/12/2017,10/12/2017,49,€290.02,€/100Kg,Heifers,E R2
CZ,Czechia,04/12/2017,10/12/2017,49,€270.32,€/100Kg,Heifers,E O4
CZ,Czechia,04/12/2017,10/12/2017,49,€322.70,€/100Kg,Young bulls,A O3
CZ,Czechia,04/12/2017,10/12/2017,49,€254.26,€/100Kg,Cows,D O4
DK,Denmark,04/12/2017,10/12/2017,49,€297.78,€/100Kg,Cows,D P3
DK,Denmark,04/12/2017,10/12/2017,49,€245.64,€/100Kg,Bulls,B R3
DK,Denmark,04/12/2017,10/12/2017,49,€376.93,€/100Kg,Young cattle,Z R3
DK,Denmark,04/12/2017,10/12/2017,49,€396.95,€/100Kg,Young cattle,Z U3
DK,Denmark,04/12/2017,10/12/2017,49,€342.39,€/100Kg,Young bulls,A O2
DK,Denmark,04/12/2017,10/12/2017,49,€323.71,€/100Kg,Cows,D O4
DK,Denmark,04/12/2017,10/12/2017,49,€447.88,€/100Kg,Steers,C O3
DK,Denmark,04/12/2017,10/12/2017,49,€323.31,€/100Kg,Cows,D O3
DK,Denmark,04/12/2017,10/12/2017,49,€348.44,€/100Kg,Heifers,E O3
DK,Denmark,04/12/2017,10/12/2017,49,€345.62,€/100Kg,Heifers,E O4
DK,Denmark,04/12/2017,10/12/2017,49,€394.26,€/100Kg,Heifers,E U2
DK,Denmark,04/12/2017,10/12/2017,49,€435.92,€/100Kg,Steers,C R3
DK,Denmark,04/12/2017,10/12/2017,49,€383.11,€/100Kg,Young bulls,A R3
DK,Denmark,04/12/2017,10/12/2017,49,€374.75,€/100Kg,Adult male indicative price,ACZ URO
DK,Denmark,04/12/2017,10/12/2017,49,€297.78,€/100Kg,Cows,D O2
DK,Denmark,04/12/2017,10/12/2017,49,€373.70,€/100Kg,Young bulls,A R2
DK,Denmark,04/12/2017,10/12/2017,49,€379.75,€/100Kg,Heifers,E R3
DK,Denmark,04/12/2017,10/12/2017,49,€368.33,€/100Kg,Heifers,E R2
DK,Denmark,04/12/2017,10/12/2017,49,€361.21,€/100Kg,Young cattle,Z O2
DK,Denmark,04/12/2017,10/12/2017,49,€345.35,€/100Kg,Young bulls,A O3
DK,Denmark,04/12/2017,10/12/2017,49,€385.12,€/100Kg,Steers,C R4
DK,Denmark,04/12/2017,10/12/2017,49,€261.63,€/100Kg,Cows,D P2
DK,Denmark,04/12/2017,10/12/2017,49,€373.57,€/100Kg,Young cattle,Z R2
DK,Denmark,04/12/2017,10/12/2017,49,€369.13,€/100Kg,Heifers,E R4
DK,Denmark,04/12/2017,10/12/2017,49,€393.32,€/100Kg,Young bulls,A U3
DK,Denmark,04/12/2017,10/12/2017,49,€336.75,€/100Kg,Cows,D R4
DK,Denmark,04/12/2017,10/12/2017,49,€411.87,€/100Kg,Heifers,E U3
DK,Denmark,04/12/2017,10/12/2017,49,€336.35,€/100Kg,Cows,D R3
DK,Denmark,04/12/2017,10/12/2017,49,€399.50,€/100Kg,Young cattle,Z U2
DK,Denmark,04/12/2017,10/12/2017,49,€394.93,€/100Kg,Young bulls,A U2
DK,Denmark,04/12/2017,10/12/2017,49,€383.38,€/100Kg,Steers,C O4
DK,Denmark,04/12/2017,10/12/2017,49,€330.03,€/100Kg,Heifers,E O2
DK,Denmark,04/12/2017,10/12/2017,49,€365.10,€/100Kg,Young cattle,Z O3
EE,Estonia,04/12/2017,10/12/2017,49,€261.12,€/100Kg,Cows,D R3
EE,Estonia,04/12/2017,10/12/2017,49,€259.70,€/100Kg,Heifers,E O3
EE,Estonia,04/12/2017,10/12/2017,49,€226.82,€/100Kg,Cows,D P2
EE,Estonia,04/12/2017,10/12/2017,49,€283.91,€/100Kg,Young bulls,A O2
EE,Estonia,04/12/2017,10/12/2017,49,€2500.74,€/100Kg,Cows,D O2
EE,Estonia,04/12/2017,10/12/2017,49,€252.71,€/100Kg,Cows,D O4
EE,Estonia,04/12/2017,10/12/2017,49,€328.44,€/100Kg,Young bulls,A R3
EE,Estonia,04/12/2017,10/12/2017,49,€209.10,€/100Kg,Steers,C R3
EE,Estonia,04/12/2017,10/12/2017,49,€339.66,€/100Kg,Young bulls,A R2
EE,Estonia,04/12/2017,10/12/2017,49,€274.04,€/100Kg,Young bulls,A O3
EE,Estonia,04/12/2017,10/12/2017,49,€299.88,€/100Kg,Heifers,E R2
EE,Estonia,04/12/2017,10/12/2017,49,€240.89,€/100Kg,Cows,D P3
EE,Estonia,04/12/2017,10/12/2017,49,€255.00,€/100Kg,Heifers,E O4
EE,Estonia,04/12/2017,10/12/2017,49,€252.61,€/100Kg,Cows,D O3
EE,Estonia,04/12/2017,10/12/2017,49,€262.14,€/100Kg,Heifers,E O2
EE,Estonia,04/12/2017,10/12/2017,49,€212.16,€/100Kg,Steers,C O3
EE,Estonia,04/12/2017,10/12/2017,49,€333.33,€/100Kg,Adult male indicative price,ACZ URO
EE,Estonia,04/12/2017,10/12/2017,49,€258.06,€/100Kg,Heifers,E R4
