memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,productName,marketName,stageName
AT,Austria,19/12/2016,25/12/2016,25,"€144,00",TONNES,Milling wheat,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,19/12/2016,25/12/2016,25,"€130,00",TONNES,Feed barley,Wien,Departure from silo - after some storage - on truck or other transport means
BE,Belgium,19/12/2016,25/12/2016,25,"€190,00",TONNES,Maize,Brussel - Bruxelles,Departure from farm or from production area - on truck or other transport means
BE,Belgium,19/12/2016,25/12/2016,25,"€179,00",TONNES,Milling wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,19/12/2016,25/12/2016,25,"€175,00",TONNES,Feed oats,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,19/12/2016,25/12/2016,25,"€146,00",TONNES,Feed barley,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,19/12/2016,25/12/2016,25,"€170,00",TONNES,Feed wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,19/12/2016,25/12/2016,25,"€148,28",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,19/12/2016,25/12/2016,25,"€127,82",TONNES,Feed barley,Burgas,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,19/12/2016,25/12/2016,25,"€150,83",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
HR,Croatia,19/12/2016,25/12/2016,25,"€128,73",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,19/12/2016,25/12/2016,25,"€136,70",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CY,Cyprus,19/12/2016,25/12/2016,25,"€186,00",TONNES,Feed barley,Larnaca,Departure from silo - after some storage - on truck or other transport means
CY,Cyprus,19/12/2016,25/12/2016,25,"€280,00",TONNES,Durum wheat,Lemesos,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,19/12/2016,25/12/2016,25,"€137,00",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,19/12/2016,25/12/2016,25,"€129,00",TONNES,Feed oats,Seinäjoki,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,19/12/2016,25/12/2016,25,"€122,90",TONNES,Feed barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,19/12/2016,25/12/2016,25,"€154,33",TONNES,Milling wheat,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,19/12/2016,25/12/2016,25,"€150,00",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
DE,Germany,19/12/2016,25/12/2016,25,"€151,00",TONNES,Milling rye,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,19/12/2016,25/12/2016,25,"€150,00",TONNES,Feed barley,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,19/12/2016,25/12/2016,25,"€166,00",TONNES,Feed wheat,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,19/12/2016,25/12/2016,25,"€170,50",TONNES,Milling wheat,Hamburg,Departure from silo - after some storage - on truck or other transport means
LV,Latvia,19/12/2016,25/12/2016,25,"€135,00",TONNES,Feed barley,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,19/12/2016,25/12/2016,25,"€165,51",TONNES,Milling wheat,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,19/12/2016,25/12/2016,25,"€133,60",TONNES,Feed wheat,Jelgava,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,19/12/2016,25/12/2016,25,"€134,75",TONNES,Feed wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,19/12/2016,25/12/2016,25,"€151,96",TONNES,Milling wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,19/12/2016,25/12/2016,25,"€119,45",TONNES,Feed barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
NL,Netherlands,19/12/2016,25/12/2016,25,"€177,23",TONNES,Feed wheat,Rotterdam,"Cost, Insurance and Freight - Incoterm"
NL,Netherlands,19/12/2016,25/12/2016,25,"€159,67",TONNES,Feed barley,Rotterdam,"Cost, Insurance and Freight - Incoterm"
NL,Netherlands,19/12/2016,25/12/2016,25,"€176,33",TONNES,Maize,Rotterdam,"Cost, Insurance and Freight - Incoterm"
PL,Poland,19/12/2016,25/12/2016,25,"€153,76",TONNES,Milling wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€159,93",TONNES,Feed wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€123,02",TONNES,Milling rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€121,82",TONNES,Feed barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€151,95",TONNES,Milling wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€160,95",TONNES,Malting barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€147,17",TONNES,Milling wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€139,64",TONNES,Feed wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€145,96",TONNES,Maize,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€142,78",TONNES,Feed wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,19/12/2016,25/12/2016,25,"€136,39",TONNES,Maize,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PT,Portugal,19/12/2016,25/12/2016,25,"€179,00",TONNES,Feed wheat,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,19/12/2016,25/12/2016,25,"€174,00",TONNES,Feed barley,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,19/12/2016,25/12/2016,25,"€180,00",TONNES,Maize,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
RO,Romania,19/12/2016,25/12/2016,25,"€165,29",TONNES,Milling wheat,Constanta,Free On Board - Incoterm
RO,Romania,19/12/2016,25/12/2016,25,"€143,69",TONNES,Maize,Oltenia,Departure from silo - after some storage - on truck or other transport means
RO,Romania,19/12/2016,25/12/2016,25,"€160,73",TONNES,Maize,Constanta,Free On Board - Incoterm
RO,Romania,19/12/2016,25/12/2016,25,"€145,17",TONNES,Milling wheat,Banat,Departure from silo - after some storage - on truck or other transport means
