memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,category,productCode
AT,Austria,30/11/2009,06/12/2009,49,€320.41,€/100Kg,Young bulls,A R3
AT,Austria,30/11/2009,06/12/2009,49,€317.26,€/100Kg,Steers,C U4
AT,Austria,30/11/2009,06/12/2009,49,€224.25,€/100Kg,Cows,D R4
AT,Austria,30/11/2009,06/12/2009,49,€277.54,€/100Kg,Heifers,E R2
AT,Austria,30/11/2009,06/12/2009,49,€191.55,€/100Kg,Cows,D O2
AT,Austria,30/11/2009,06/12/2009,49,€177.62,€/100Kg,Cows,D P3
AT,Austria,30/11/2009,06/12/2009,49,€276.30,€/100Kg,Heifers,E R3
AT,Austria,30/11/2009,06/12/2009,49,€289.07,€/100Kg,Heifers,E U3
AT,Austria,30/11/2009,06/12/2009,49,€269.06,€/100Kg,Heifers,E R4
AT,Austria,30/11/2009,06/12/2009,49,€321.47,€/100Kg,Steers,C R3
AT,Austria,30/11/2009,06/12/2009,49,€249.03,€/100Kg,Heifers,E O3
AT,Austria,30/11/2009,06/12/2009,49,€299.64,€/100Kg,Steers,C O3
AT,Austria,30/11/2009,06/12/2009,49,€298.22,€/100Kg,Heifers,E U2
AT,Austria,30/11/2009,06/12/2009,49,€236.97,€/100Kg,Heifers,E O4
AT,Austria,30/11/2009,06/12/2009,49,€267.03,€/100Kg,Bulls,B R3
AT,Austria,30/11/2009,06/12/2009,49,€336.90,€/100Kg,Steers,C U3
AT,Austria,30/11/2009,06/12/2009,49,€167.73,€/100Kg,Cows,D P2
AT,Austria,30/11/2009,06/12/2009,49,€247.34,€/100Kg,Heifers,E O2
AT,Austria,30/11/2009,06/12/2009,49,€217.20,€/100Kg,Cows,D R3
AT,Austria,30/11/2009,06/12/2009,49,€297.88,€/100Kg,Young bulls,A O3
AT,Austria,30/11/2009,06/12/2009,49,€312.49,€/100Kg,Adult male indicative price,ACZ URO
AT,Austria,30/11/2009,06/12/2009,49,€197.49,€/100Kg,Cows,D O3
AT,Austria,30/11/2009,06/12/2009,49,€205.02,€/100Kg,Cows,D O4
AT,Austria,30/11/2009,06/12/2009,49,€289.45,€/100Kg,Young bulls,A O2
AT,Austria,30/11/2009,06/12/2009,49,€325.40,€/100Kg,Young bulls,A U2
AT,Austria,30/11/2009,06/12/2009,49,€352.63,€/100Kg,Steers,C U2
AT,Austria,30/11/2009,06/12/2009,49,€316.47,€/100Kg,Young bulls,A R2
AT,Austria,30/11/2009,06/12/2009,49,€305.34,€/100Kg,Steers,C R4
AT,Austria,30/11/2009,06/12/2009,49,€326.75,€/100Kg,Young bulls,A U3
BE,Belgium,30/11/2009,06/12/2009,49,€279.00,€/100Kg,Heifers,E R2
BE,Belgium,30/11/2009,06/12/2009,49,€213.33,€/100Kg,Cows,D O3
BE,Belgium,30/11/2009,06/12/2009,49,€288.92,€/100Kg,Young bulls,A R2
BE,Belgium,30/11/2009,06/12/2009,49,€228.46,€/100Kg,Young bulls,A O3
BE,Belgium,30/11/2009,06/12/2009,49,€334.23,€/100Kg,Young bulls,A U2
BE,Belgium,30/11/2009,06/12/2009,49,€250.46,€/100Kg,Cows,D R3
BE,Belgium,30/11/2009,06/12/2009,49,€263.05,€/100Kg,Young bulls,A R3
BE,Belgium,30/11/2009,06/12/2009,49,€310.37,€/100Kg,Young bulls,A U3
BE,Belgium,30/11/2009,06/12/2009,49,€179.65,€/100Kg,Cows,D P2
BE,Belgium,30/11/2009,06/12/2009,49,€352.00,€/100Kg,Heifers,E U2
BE,Belgium,30/11/2009,06/12/2009,49,€331.50,€/100Kg,Heifers,E U3
BE,Belgium,30/11/2009,06/12/2009,49,€244.85,€/100Kg,Young bulls,A O2
BE,Belgium,30/11/2009,06/12/2009,49,€209.86,€/100Kg,Cows,D O4
BE,Belgium,30/11/2009,06/12/2009,49,€172.11,€/100Kg,Cows,D P3
BE,Belgium,30/11/2009,06/12/2009,49,€268.00,€/100Kg,Heifers,E R3
BE,Belgium,30/11/2009,06/12/2009,49,€302.08,€/100Kg,Adult male indicative price,ACZ URO
BE,Belgium,30/11/2009,06/12/2009,49,€216.56,€/100Kg,Cows,D O2
BG,Bulgaria,30/11/2009,06/12/2009,49,€239.29,€/100Kg,Young bulls,A O3
BG,Bulgaria,30/11/2009,06/12/2009,49,€234.54,€/100Kg,Young bulls,A O2
BG,Bulgaria,30/11/2009,06/12/2009,49,€184.99,€/100Kg,Cows,D O3
BG,Bulgaria,30/11/2009,06/12/2009,49,€144.10,€/100Kg,Cows,D P2
CY,Cyprus,30/11/2009,06/12/2009,49,€244.00,€/100Kg,Heifers,E O3
CY,Cyprus,30/11/2009,06/12/2009,49,€157.00,€/100Kg,Cows,D P3
CY,Cyprus,30/11/2009,06/12/2009,49,€287.00,€/100Kg,Young bulls,A O3
CY,Cyprus,30/11/2009,06/12/2009,49,€244.00,€/100Kg,Heifers,E O4
CY,Cyprus,30/11/2009,06/12/2009,49,€157.00,€/100Kg,Cows,D P2
CY,Cyprus,30/11/2009,06/12/2009,49,€287.00,€/100Kg,Young bulls,A O2
CZ,Czechia,30/11/2009,06/12/2009,49,€186.96,€/100Kg,Cows,D O4
CZ,Czechia,30/11/2009,06/12/2009,49,€196.82,€/100Kg,Heifers,E O4
CZ,Czechia,30/11/2009,06/12/2009,49,€189.70,€/100Kg,Cows,D O2
CZ,Czechia,30/11/2009,06/12/2009,49,€146.13,€/100Kg,Cows,D P3
CZ,Czechia,30/11/2009,06/12/2009,49,€211.88,€/100Kg,Heifers,E O3
CZ,Czechia,30/11/2009,06/12/2009,49,€187.73,€/100Kg,Cows,D O3
CZ,Czechia,30/11/2009,06/12/2009,49,€279.37,€/100Kg,Young bulls,A R2
CZ,Czechia,30/11/2009,06/12/2009,49,€278.13,€/100Kg,Young bulls,A R3
CZ,Czechia,30/11/2009,06/12/2009,49,€274.40,€/100Kg,Young bulls,A U3
CZ,Czechia,30/11/2009,06/12/2009,49,€218.85,€/100Kg,Heifers,E R4
CZ,Czechia,30/11/2009,06/12/2009,49,€258.99,€/100Kg,Young bulls,A O3
CZ,Czechia,30/11/2009,06/12/2009,49,€207.11,€/100Kg,Cows,D R4
CZ,Czechia,30/11/2009,06/12/2009,49,€290.19,€/100Kg,Young bulls,A U2
CZ,Czechia,30/11/2009,06/12/2009,49,€156.38,€/100Kg,Cows,D P2
CZ,Czechia,30/11/2009,06/12/2009,49,€255.56,€/100Kg,Young bulls,A O2
CZ,Czechia,30/11/2009,06/12/2009,49,€263.50,€/100Kg,Bulls,B R3
CZ,Czechia,30/11/2009,06/12/2009,49,€275.90,€/100Kg,Adult male indicative price,ACZ URO
CZ,Czechia,30/11/2009,06/12/2009,49,€223.63,€/100Kg,Heifers,E R3
CZ,Czechia,30/11/2009,06/12/2009,49,€231.06,€/100Kg,Heifers,E R2
CZ,Czechia,30/11/2009,06/12/2009,49,€209.92,€/100Kg,Cows,D R3
CZ,Czechia,30/11/2009,06/12/2009,49,€210.65,€/100Kg,Heifers,E O2
DK,Denmark,30/11/2009,06/12/2009,49,€209.08,€/100Kg,Heifers,E O2
DK,Denmark,30/11/2009,06/12/2009,49,€254.23,€/100Kg,Heifers,E O3
DK,Denmark,30/11/2009,06/12/2009,49,€291.45,€/100Kg,Young bulls,A O2
DK,Denmark,30/11/2009,06/12/2009,49,€286.62,€/100Kg,Heifers,E U2
DK,Denmark,30/11/2009,06/12/2009,49,€153.05,€/100Kg,Cows,D P2
DK,Denmark,30/11/2009,06/12/2009,49,€247.24,€/100Kg,Heifers,E O4
DK,Denmark,30/11/2009,06/12/2009,49,€214.73,€/100Kg,Cows,D O3
DK,Denmark,30/11/2009,06/12/2009,49,€316.31,€/100Kg,Young bulls,A R2
DK,Denmark,30/11/2009,06/12/2009,49,€212.58,€/100Kg,Bulls,B R3
DK,Denmark,30/11/2009,06/12/2009,49,€289.84,€/100Kg,Heifers,E R4
DK,Denmark,30/11/2009,06/12/2009,49,€298.31,€/100Kg,Heifers,E R3
DK,Denmark,30/11/2009,06/12/2009,49,€287.42,€/100Kg,Young bulls,A O3
DK,Denmark,30/11/2009,06/12/2009,49,€243.35,€/100Kg,Cows,D R3
DK,Denmark,30/11/2009,06/12/2009,49,€234.75,€/100Kg,Cows,D R4
DK,Denmark,30/11/2009,06/12/2009,49,€251.81,€/100Kg,Heifers,E R2
DK,Denmark,30/11/2009,06/12/2009,49,€341.57,€/100Kg,Young bulls,A U2
DK,Denmark,30/11/2009,06/12/2009,49,€292.66,€/100Kg,Steers,C R3
DK,Denmark,30/11/2009,06/12/2009,49,€345.20,€/100Kg,Young bulls,A U3
DK,Denmark,30/11/2009,06/12/2009,49,€259.07,€/100Kg,Steers,C O3
DK,Denmark,30/11/2009,06/12/2009,49,€320.21,€/100Kg,Heifers,E U3
DK,Denmark,30/11/2009,06/12/2009,49,€213.92,€/100Kg,Cows,D O4
DK,Denmark,30/11/2009,06/12/2009,49,€319.99,€/100Kg,Adult male indicative price,ACZ URO
DK,Denmark,30/11/2009,06/12/2009,49,€252.49,€/100Kg,Steers,C O4
DK,Denmark,30/11/2009,06/12/2009,49,€255.17,€/100Kg,Steers,C R4
DK,Denmark,30/11/2009,06/12/2009,49,€190.27,€/100Kg,Cows,D O2
DK,Denmark,30/11/2009,06/12/2009,49,€184.22,€/100Kg,Cows,D P3
DK,Denmark,30/11/2009,06/12/2009,49,€324.11,€/100Kg,Young bulls,A R3
