memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,productName,marketName,stageName
AT,Austria,17/12/2018,23/12/2018,25,"€188,00",TONNES,Feed wheat,Wien,Departure from silo - after some storage - on truck or other transport means
BE,Belgium,17/12/2018,23/12/2018,25,"€214,00",TONNES,Milling wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,17/12/2018,23/12/2018,25,"€215,00",TONNES,Feed barley,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,17/12/2018,23/12/2018,25,"€204,00",TONNES,Feed oats,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,17/12/2018,23/12/2018,25,"€210,00",TONNES,Feed wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,17/12/2018,23/12/2018,25,"€192,00",TONNES,Maize,Brussel - Bruxelles,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,17/12/2018,23/12/2018,25,"€135,49",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,17/12/2018,23/12/2018,25,"€166,17",TONNES,Feed wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,17/12/2018,23/12/2018,25,"€184,07",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
HR,Croatia,17/12/2018,23/12/2018,25,"€178,08",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,17/12/2018,23/12/2018,25,"€138,96",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CY,Cyprus,17/12/2018,23/12/2018,25,"€240,00",TONNES,Durum wheat,Lemesos,Departure from silo - after some storage - on truck or other transport means
CY,Cyprus,17/12/2018,23/12/2018,25,"€252,50",TONNES,Feed barley,Larnaca,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,17/12/2018,23/12/2018,25,"€188,51",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,17/12/2018,23/12/2018,25,"€200,00",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,17/12/2018,23/12/2018,25,"€206,65",TONNES,Milling wheat,La Pallice,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,17/12/2018,23/12/2018,25,"€179,51",TONNES,Maize,Bordeaux,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,17/12/2018,23/12/2018,25,"€206,65",TONNES,Feed barley,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,17/12/2018,23/12/2018,25,"€207,90",TONNES,Milling wheat,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
EL,Greece,17/12/2018,23/12/2018,25,"€165,00",TONNES,Maize,Serres,Price at farm gate
IE,Ireland,17/12/2018,23/12/2018,25,"€219,00",TONNES,Feed barley,Dublin/North East/Midlands,Deliver to first customer - silo or processing plant - on truck or other transport means
IE,Ireland,17/12/2018,23/12/2018,25,"€218,00",TONNES,Feed wheat,Dublin/North East/Midlands,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,17/12/2018,23/12/2018,25,"€218,50",TONNES,Durum wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,17/12/2018,23/12/2018,25,"€179,00",TONNES,Maize,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,17/12/2018,23/12/2018,25,"€225,00",TONNES,Milling wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,17/12/2018,23/12/2018,25,"€226,50",TONNES,Feed barley,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,17/12/2018,23/12/2018,25,"€189,00",TONNES,Feed barley,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,17/12/2018,23/12/2018,25,"€190,00",TONNES,Feed wheat,Jelgava,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,17/12/2018,23/12/2018,25,"€191,35",TONNES,Milling wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,17/12/2018,23/12/2018,25,"€189,29",TONNES,Malting barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,17/12/2018,23/12/2018,25,"€184,51",TONNES,Feed barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,17/12/2018,23/12/2018,25,"€188,16",TONNES,Feed wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€187,76",TONNES,Feed oats,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€197,24",TONNES,Milling wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€195,58",TONNES,Milling wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€170,45",TONNES,Milling rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€195,92",TONNES,Feed wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€198,36",TONNES,Milling wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€173,49",TONNES,Maize,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€199,87",TONNES,Malting barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€188,99",TONNES,Feed barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€191,94",TONNES,Feed wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€197,68",TONNES,Feed wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€171,15",TONNES,Feed rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,17/12/2018,23/12/2018,25,"€168,37",TONNES,Maize,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PT,Portugal,17/12/2018,23/12/2018,25,"€215,00",TONNES,Feed barley,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,17/12/2018,23/12/2018,25,"€218,00",TONNES,Feed wheat,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,17/12/2018,23/12/2018,25,"€177,00",TONNES,Maize,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
SI,Slovenia,17/12/2018,23/12/2018,25,"€237,73",TONNES,Milling wheat,Ljubljana,Deliver to first customer - silo or processing plant - on truck or other transport means
SI,Slovenia,17/12/2018,23/12/2018,25,"€145,00",TONNES,Maize,Ljubljana,Deliver to first customer - silo or processing plant - on truck or other transport means
ES,Spain,17/12/2018,23/12/2018,25,"€192,20",TONNES,Milling wheat,Burgos,Departure from silo - after some storage - on truck or other transport means
ES,Spain,17/12/2018,23/12/2018,25,"€203,00",TONNES,Durum wheat,Sevilla,Departure from silo - after some storage - on truck or other transport means
ES,Spain,17/12/2018,23/12/2018,25,"€178,80",TONNES,Maize,Leon,Departure from silo - after some storage - on truck or other transport means
ES,Spain,17/12/2018,23/12/2018,25,"€200,00",TONNES,Malting barley,Navarra,Departure from silo - after some storage - on truck or other transport means
ES,Spain,17/12/2018,23/12/2018,25,"€187,00",TONNES,Feed barley,Valladolid,Departure from silo - after some storage - on truck or other transport means
AT,Austria,05/11/2018,11/11/2018,19,"€153,50",TONNES,Maize,Wien,Departure from silo - after some storage - on truck or other transport means
BE,Belgium,05/11/2018,11/11/2018,19,"€190,00",TONNES,Maize,Brussel - Bruxelles,Departure from farm or from production area - on truck or other transport means
BE,Belgium,05/11/2018,11/11/2018,19,"€207,00",TONNES,Feed wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,05/11/2018,11/11/2018,19,"€217,00",TONNES,Feed barley,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,05/11/2018,11/11/2018,19,"€211,00",TONNES,Milling wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,05/11/2018,11/11/2018,19,"€208,00",TONNES,Feed oats,Antwerpen,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,05/11/2018,11/11/2018,19,"€194,29",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,05/11/2018,11/11/2018,19,"€166,17",TONNES,Feed wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,05/11/2018,11/11/2018,19,"€130,38",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
HR,Croatia,05/11/2018,11/11/2018,19,"€135,85",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,05/11/2018,11/11/2018,19,"€170,83",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CY,Cyprus,05/11/2018,11/11/2018,19,"€240,00",TONNES,Durum wheat,Lemesos,Departure from silo - after some storage - on truck or other transport means
CY,Cyprus,05/11/2018,11/11/2018,19,"€247,50",TONNES,Feed barley,Larnaca,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,05/11/2018,11/11/2018,19,"€185,92",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,05/11/2018,11/11/2018,19,"€206,00",TONNES,Feed oats,Seinäjoki,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,05/11/2018,11/11/2018,19,"€196,00",TONNES,Feed barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,05/11/2018,11/11/2018,19,"€205,00",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,05/11/2018,11/11/2018,19,"€215,00",TONNES,Milling wheat,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,05/11/2018,11/11/2018,19,"€204,72",TONNES,Feed barley,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,05/11/2018,11/11/2018,19,"€200,72",TONNES,Milling wheat,La Pallice,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,05/11/2018,11/11/2018,19,"€201,22",TONNES,Milling wheat,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,05/11/2018,11/11/2018,19,"€170,58",TONNES,Maize,Bordeaux,Delivered to port - grain delivered to a port silo by train or truck or barge
DE,Germany,05/11/2018,11/11/2018,19,"€207,00",TONNES,Feed barley,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,05/11/2018,11/11/2018,19,"€205,00",TONNES,Feed wheat,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,05/11/2018,11/11/2018,19,"€207,50",TONNES,Milling rye,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,05/11/2018,11/11/2018,19,"€205,00",TONNES,Milling wheat,Hamburg,Departure from silo - after some storage - on truck or other transport means
EL,Greece,05/11/2018,11/11/2018,19,"€165,00",TONNES,Maize,Serres,Price at farm gate
IE,Ireland,05/11/2018,11/11/2018,19,"€217,00",TONNES,Feed wheat,Dublin/North East/Midlands,Deliver to first customer - silo or processing plant - on truck or other transport means
IE,Ireland,05/11/2018,11/11/2018,19,"€218,00",TONNES,Feed barley,Dublin/North East/Midlands,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,05/11/2018,11/11/2018,19,"€210,50",TONNES,Durum wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,05/11/2018,11/11/2018,19,"€218,50",TONNES,Feed barley,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,05/11/2018,11/11/2018,19,"€216,00",TONNES,Milling wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,05/11/2018,11/11/2018,19,"€177,00",TONNES,Maize,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,05/11/2018,11/11/2018,19,"€148,80",TONNES,Feed barley,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,05/11/2018,11/11/2018,19,"€194,83",TONNES,Milling wheat,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,05/11/2018,11/11/2018,19,"€189,09",TONNES,Feed wheat,Jelgava,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,05/11/2018,11/11/2018,19,"€171,95",TONNES,Feed wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,05/11/2018,11/11/2018,19,"€179,36",TONNES,Milling wheat,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,05/11/2018,11/11/2018,19,"€153,44",TONNES,Feed oats,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,05/11/2018,11/11/2018,19,"€197,24",TONNES,Malting barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
LT,Lithuania,05/11/2018,11/11/2018,19,"€170,31",TONNES,Feed barley,Vilnius,Deliver to first customer - silo or processing plant - on truck or other transport means
NL,Netherlands,05/11/2018,11/11/2018,19,"€220,00",TONNES,Feed barley,Rotterdam,"Cost, Insurance and Freight - Incoterm"
NL,Netherlands,05/11/2018,11/11/2018,19,"€175,50",TONNES,Maize,Rotterdam,"Cost, Insurance and Freight - Incoterm"
NL,Netherlands,05/11/2018,11/11/2018,19,"€213,50",TONNES,Feed wheat,Rotterdam,"Cost, Insurance and Freight - Incoterm"
PL,Poland,05/11/2018,11/11/2018,19,"€175,21",TONNES,Milling rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€188,98",TONNES,Feed barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€161,51",TONNES,Feed rye,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€192,32",TONNES,Milling wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€195,93",TONNES,Milling wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€190,54",TONNES,Feed wheat,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€166,81",TONNES,Maize,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€192,78",TONNES,Malting barley,Zachodni,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€187,53",TONNES,Feed wheat,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€196,64",TONNES,Feed wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€194,02",TONNES,Milling wheat,Kujawsko-Mazurski,Deliver to first customer - silo or processing plant - on truck or other transport means
PL,Poland,05/11/2018,11/11/2018,19,"€165,05",TONNES,Maize,Slaski,Deliver to first customer - silo or processing plant - on truck or other transport means
PT,Portugal,05/11/2018,11/11/2018,19,"€214,00",TONNES,Feed barley,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,05/11/2018,11/11/2018,19,"€173,00",TONNES,Maize,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
PT,Portugal,05/11/2018,11/11/2018,19,"€214,00",TONNES,Feed wheat,Lisboa,"Shipped to the place (port), unloaded, on truck leaving port"
RO,Romania,05/11/2018,11/11/2018,19,"€166,33",TONNES,Maize,Constanta,Free On Board - Incoterm
RO,Romania,05/11/2018,11/11/2018,19,"€190,15",TONNES,Feed barley,Muntenia,Departure from silo - after some storage - on truck or other transport means
RO,Romania,05/11/2018,11/11/2018,19,"€135,18",TONNES,Feed wheat,Oltenia,Departure from silo - after some storage - on truck or other transport means
RO,Romania,05/11/2018,11/11/2018,19,"€185,66",TONNES,Milling wheat,Constanta,Free On Board - Incoterm
RO,Romania,05/11/2018,11/11/2018,19,"€171,66",TONNES,Milling wheat,Banat,Departure from silo - after some storage - on truck or other transport means
RO,Romania,05/11/2018,11/11/2018,19,"€132,11",TONNES,Maize,Oltenia,Departure from silo - after some storage - on truck or other transport means
SK,Slovakia,05/11/2018,11/11/2018,19,"€138,32",TONNES,Maize,Bratislava,Departure from farm or from production area - on truck or other transport means
SK,Slovakia,05/11/2018,11/11/2018,19,"€138,28",TONNES,Feed barley,Bratislava,Departure from farm or from production area - on truck or other transport means
SK,Slovakia,05/11/2018,11/11/2018,19,"€163,30",TONNES,Milling wheat,Bratislava,Departure from farm or from production area - on truck or other transport means
SI,Slovenia,05/11/2018,11/11/2018,19,"€162,90",TONNES,Maize,Ljubljana,Deliver to first customer - silo or processing plant - on truck or other transport means
SI,Slovenia,05/11/2018,11/11/2018,19,"€198,82",TONNES,Milling wheat,Ljubljana,Deliver to first customer - silo or processing plant - on truck or other transport means
ES,Spain,05/11/2018,11/11/2018,19,"€198,00",TONNES,Malting barley,Navarra,Departure from silo - after some storage - on truck or other transport means
ES,Spain,05/11/2018,11/11/2018,19,"€178,80",TONNES,Maize,Leon,Departure from silo - after some storage - on truck or other transport means
ES,Spain,05/11/2018,11/11/2018,19,"€195,00",TONNES,Durum wheat,Sevilla,Departure from silo - after some storage - on truck or other transport means
ES,Spain,05/11/2018,11/11/2018,19,"€192,00",TONNES,Milling wheat,Burgos,Departure from silo - after some storage - on truck or other transport means
ES,Spain,05/11/2018,11/11/2018,19,"€187,00",TONNES,Feed barley,Valladolid,Departure from silo - after some storage - on truck or other transport means
SE,Sweden,05/11/2018,11/11/2018,19,"€219,81",TONNES,Milling wheat,Södra Sverige,Free On Board - Incoterm
UK,UK up to 01/02/2020,05/11/2018,11/11/2018,19,"€188,23",TONNES,Feed barley,UK Average,Price at farm gate
UK,UK up to 01/02/2020,05/11/2018,11/11/2018,19,"€199,56",TONNES,Milling wheat,UK Average,Price at farm gate
UK,UK up to 01/02/2020,05/11/2018,11/11/2018,19,"€188,91",TONNES,Feed wheat,UK Average,Price at farm gate
AT,Austria,24/09/2018,30/09/2018,13,"€153,00",TONNES,Maize,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,24/09/2018,30/09/2018,13,"€170,00",TONNES,Feed barley,Wien,Departure from silo - after some storage - on truck or other transport means
BE,Belgium,24/09/2018,30/09/2018,13,"€210,00",TONNES,Milling wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,24/09/2018,30/09/2018,13,"€197,00",TONNES,Maize,Brussel - Bruxelles,Departure from farm or from production area - on truck or other transport means
BE,Belgium,24/09/2018,30/09/2018,13,"€206,00",TONNES,Feed wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,24/09/2018,30/09/2018,13,"€196,00",TONNES,Feed oats,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,24/09/2018,30/09/2018,13,"€212,00",TONNES,Feed barley,Antwerpen,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,24/09/2018,30/09/2018,13,"€130,38",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,24/09/2018,30/09/2018,13,"€168,73",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,24/09/2018,30/09/2018,13,"€148,28",TONNES,Feed wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
HR,Croatia,24/09/2018,30/09/2018,13,"€144,01",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,24/09/2018,30/09/2018,13,"€157,47",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,24/09/2018,30/09/2018,13,"€173,17",TONNES,Feed wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
CZ,Czechia,24/09/2018,30/09/2018,13,"€179,95",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
CZ,Czechia,24/09/2018,30/09/2018,13,"€173,37",TONNES,Feed barley,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,24/09/2018,30/09/2018,13,"€215,00",TONNES,Milling wheat,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,24/09/2018,30/09/2018,13,"€213,00",TONNES,Feed oats,Seinäjoki,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,24/09/2018,30/09/2018,13,"€205,00",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,24/09/2018,30/09/2018,13,"€196,00",TONNES,Feed barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,24/09/2018,30/09/2018,13,"€201,36",TONNES,Milling wheat,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,24/09/2018,30/09/2018,13,"€201,86",TONNES,Feed barley,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,24/09/2018,30/09/2018,13,"€201,36",TONNES,Milling wheat,La Pallice,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,24/09/2018,30/09/2018,13,"€174,72",TONNES,Maize,Bordeaux,Delivered to port - grain delivered to a port silo by train or truck or barge
DE,Germany,24/09/2018,30/09/2018,13,"€204,00",TONNES,Milling wheat,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,24/09/2018,30/09/2018,13,"€204,00",TONNES,Feed wheat,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,24/09/2018,30/09/2018,13,"€209,50",TONNES,Milling rye,Hamburg,Departure from silo - after some storage - on truck or other transport means
DE,Germany,24/09/2018,30/09/2018,13,"€203,50",TONNES,Feed barley,Hamburg,Departure from silo - after some storage - on truck or other transport means
EL,Greece,24/09/2018,30/09/2018,13,"€165,00",TONNES,Maize,Serres,Price at farm gate
EL,Greece,24/09/2018,30/09/2018,13,"€150,00",TONNES,Feed barley,Thessaloniki,Price at farm gate
EL,Greece,24/09/2018,30/09/2018,13,"€160,00",TONNES,Milling wheat,Thessaloniki,Price at farm gate
IE,Ireland,24/09/2018,30/09/2018,13,"€218,00",TONNES,Feed wheat,Dublin/North East/Midlands,Deliver to first customer - silo or processing plant - on truck or other transport means
IE,Ireland,24/09/2018,30/09/2018,13,"€218,00",TONNES,Feed barley,Dublin/North East/Midlands,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,24/09/2018,30/09/2018,13,"€178,00",TONNES,Maize,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,24/09/2018,30/09/2018,13,"€208,00",TONNES,Milling wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,24/09/2018,30/09/2018,13,"€207,50",TONNES,Feed barley,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
IT,Italy,24/09/2018,30/09/2018,13,"€217,50",TONNES,Durum wheat,Bologna,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,24/09/2018,30/09/2018,13,"€159,91",TONNES,Feed barley,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,24/09/2018,30/09/2018,13,"€156,28",TONNES,Feed wheat,Jelgava,Deliver to first customer - silo or processing plant - on truck or other transport means
LV,Latvia,24/09/2018,30/09/2018,13,"€185,66",TONNES,Milling wheat,Riga,Deliver to first customer - silo or processing plant - on truck or other transport means
