memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,05/12/2011,11/12/2011,49,"€160,22",100 KG,E
AT,Austria,05/12/2011,11/12/2011,49,"€160,22",100 KG,Average S + E
BE,Belgium,05/12/2011,11/12/2011,49,"€42,50",P,Piglet
BE,Belgium,05/12/2011,11/12/2011,49,"€152,40",100 KG,Average S + E
BE,Belgium,05/12/2011,11/12/2011,49,"€152,40",100 KG,E
BG,Bulgaria,05/12/2011,11/12/2011,49,"€172,20",100 KG,Average S + E
BG,Bulgaria,05/12/2011,11/12/2011,49,"€172,20",100 KG,E
CY,Cyprus,05/12/2011,11/12/2011,49,"€174,00",100 KG,Average S + E
CY,Cyprus,05/12/2011,11/12/2011,49,"€174,00",100 KG,E
CZ,Czechia,05/12/2011,11/12/2011,49,"€171,08",100 KG,E
CZ,Czechia,05/12/2011,11/12/2011,49,"€50,08",P,Piglet
CZ,Czechia,05/12/2011,11/12/2011,49,"€171,08",100 KG,Average S + E
DK,Denmark,05/12/2011,11/12/2011,49,"€151,86",100 KG,Average S + E
DK,Denmark,05/12/2011,11/12/2011,49,"€151,86",100 KG,E
DK,Denmark,05/12/2011,11/12/2011,49,"€45,60",P,Piglet
EU+UK,EU + UK,05/12/2011,11/12/2011,49,"€160,67",100 KG,Average S + E
EU+UK,EU + UK,05/12/2011,11/12/2011,49,"€42,15",P,Piglet
EU+UK,EU + UK,05/12/2011,11/12/2011,49,"€160,67",100 KG,E
EE,Estonia,05/12/2011,11/12/2011,49,"€160,89",100 KG,E
EE,Estonia,05/12/2011,11/12/2011,49,"€41,71",P,Piglet
EE,Estonia,05/12/2011,11/12/2011,49,"€160,89",100 KG,Average S + E
EU,European Union,05/12/2011,11/12/2011,49,"€160,45",100 KG,E
EU,European Union,05/12/2011,11/12/2011,49,"€41,88",P,Piglet
EU,European Union,05/12/2011,11/12/2011,49,"€160,45",100 KG,Average S + E
FI,Finland,05/12/2011,11/12/2011,49,"€48,31",P,Piglet
FI,Finland,05/12/2011,11/12/2011,49,"€152,98",100 KG,E
FI,Finland,05/12/2011,11/12/2011,49,"€152,98",100 KG,Average S + E
FR,France,05/12/2011,11/12/2011,49,"€33,40",P,Piglet
FR,France,05/12/2011,11/12/2011,49,"€151,00",100 KG,E
FR,France,05/12/2011,11/12/2011,49,"€151,00",100 KG,Average S + E
DE,Germany,05/12/2011,11/12/2011,49,"€49,10",P,Piglet
DE,Germany,05/12/2011,11/12/2011,49,"€165,24",100 KG,E
DE,Germany,05/12/2011,11/12/2011,49,"€165,24",100 KG,Average S + E
EL,Greece,05/12/2011,11/12/2011,49,"€199,27",100 KG,Average S + E
EL,Greece,05/12/2011,11/12/2011,49,"€199,27",100 KG,E
HU,Hungary,05/12/2011,11/12/2011,49,"€33,12",P,Piglet
HU,Hungary,05/12/2011,11/12/2011,49,"€169,19",100 KG,Average S + E
HU,Hungary,05/12/2011,11/12/2011,49,"€169,19",100 KG,E
IE,Ireland,05/12/2011,11/12/2011,49,"€146,08",100 KG,Average S + E
IE,Ireland,05/12/2011,11/12/2011,49,"€146,08",100 KG,E
IT,Italy,05/12/2011,11/12/2011,49,"€191,53",100 KG,Average S + E
IT,Italy,05/12/2011,11/12/2011,49,"€191,53",100 KG,E
IT,Italy,05/12/2011,11/12/2011,49,"€60,71",P,Piglet
LV,Latvia,05/12/2011,11/12/2011,49,"€171,18",100 KG,E
LV,Latvia,05/12/2011,11/12/2011,49,"€171,18",100 KG,Average S + E
LT,Lithuania,05/12/2011,11/12/2011,49,"€164,96",100 KG,Average S + E
LT,Lithuania,05/12/2011,11/12/2011,49,"€164,96",100 KG,E
LU,Luxembourg,05/12/2011,11/12/2011,49,"€166,20",100 KG,Average S + E
LU,Luxembourg,05/12/2011,11/12/2011,49,"€50,40",P,Piglet
LU,Luxembourg,05/12/2011,11/12/2011,49,"€166,20",100 KG,E
MT,Malta,05/12/2011,11/12/2011,49,"€80,00",P,Piglet
MT,Malta,05/12/2011,11/12/2011,49,"€189,00",100 KG,Average S + E
MT,Malta,05/12/2011,11/12/2011,49,"€189,00",100 KG,E
NL,Netherlands,05/12/2011,11/12/2011,49,"€35,00",P,Piglet
NL,Netherlands,05/12/2011,11/12/2011,49,"€150,83",100 KG,E
NL,Netherlands,05/12/2011,11/12/2011,49,"€150,83",100 KG,Average S + E
PL,Poland,05/12/2011,11/12/2011,49,"€165,46",100 KG,Average S + E
PL,Poland,05/12/2011,11/12/2011,49,"€165,46",100 KG,E
PL,Poland,05/12/2011,11/12/2011,49,"€33,36",P,Piglet
PT,Portugal,05/12/2011,11/12/2011,49,"€155,00",100 KG,E
PT,Portugal,05/12/2011,11/12/2011,49,"€155,00",100 KG,Average S + E
PT,Portugal,05/12/2011,11/12/2011,49,"€28,00",P,Piglet
RO,Romania,05/12/2011,11/12/2011,49,"€162,72",100 KG,E
RO,Romania,05/12/2011,11/12/2011,49,"€162,72",100 KG,Average S + E
SK,Slovakia,05/12/2011,11/12/2011,49,"€60,75",P,Piglet
SK,Slovakia,05/12/2011,11/12/2011,49,"€175,86",100 KG,E
SK,Slovakia,05/12/2011,11/12/2011,49,"€175,86",100 KG,Average S + E
SI,Slovenia,05/12/2011,11/12/2011,49,"€157,98",100 KG,E
SI,Slovenia,05/12/2011,11/12/2011,49,"€157,98",100 KG,Average S + E
ES,Spain,05/12/2011,11/12/2011,49,"€153,29",100 KG,E
ES,Spain,05/12/2011,11/12/2011,49,"€153,29",100 KG,Average S + E
ES,Spain,05/12/2011,11/12/2011,49,"€37,81",P,Piglet
SE,Sweden,05/12/2011,11/12/2011,49,"€168,88",100 KG,Average S + E
SE,Sweden,05/12/2011,11/12/2011,49,"€168,88",100 KG,E
SE,Sweden,05/12/2011,11/12/2011,49,"€65,59",P,Piglet
UK,UK up to 01/02/2020,05/12/2011,11/12/2011,49,"€50,21",P,Piglet
UK,UK up to 01/02/2020,05/12/2011,11/12/2011,49,"€168,09",100 KG,Average S + E
UK,UK up to 01/02/2020,05/12/2011,11/12/2011,49,"€168,09",100 KG,E
AT,Austria,24/10/2011,30/10/2011,43,"€155,81",100 KG,E
AT,Austria,24/10/2011,30/10/2011,43,"€155,81",100 KG,Average S + E
BE,Belgium,24/10/2011,30/10/2011,43,"€36,00",P,Piglet
BE,Belgium,24/10/2011,30/10/2011,43,"€148,90",100 KG,Average S + E
BE,Belgium,24/10/2011,30/10/2011,43,"€148,90",100 KG,E
BG,Bulgaria,24/10/2011,30/10/2011,43,"€171,30",100 KG,Average S + E
BG,Bulgaria,24/10/2011,30/10/2011,43,"€171,30",100 KG,E
CY,Cyprus,24/10/2011,30/10/2011,43,"€177,00",100 KG,Average S + E
CY,Cyprus,24/10/2011,30/10/2011,43,"€177,00",100 KG,E
CZ,Czechia,24/10/2011,30/10/2011,43,"€156,78",100 KG,E
CZ,Czechia,24/10/2011,30/10/2011,43,"€42,11",P,Piglet
CZ,Czechia,24/10/2011,30/10/2011,43,"€156,78",100 KG,Average S + E
DK,Denmark,24/10/2011,30/10/2011,43,"€144,81",100 KG,Average S + E
DK,Denmark,24/10/2011,30/10/2011,43,"€144,81",100 KG,E
DK,Denmark,24/10/2011,30/10/2011,43,"€43,25",P,Piglet
EU+UK,EU + UK,24/10/2011,30/10/2011,43,"€157,57",100 KG,Average S + E
EU+UK,EU + UK,24/10/2011,30/10/2011,43,"€36,01",P,Piglet
EU+UK,EU + UK,24/10/2011,30/10/2011,43,"€157,57",100 KG,E
EE,Estonia,24/10/2011,30/10/2011,43,"€158,74",100 KG,E
EE,Estonia,24/10/2011,30/10/2011,43,"€39,75",P,Piglet
