memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,06/12/2021,12/12/2021,49,"€149,12",100 KG,E
AT,Austria,06/12/2021,12/12/2021,49,"€160,42",100 KG,S
AT,Austria,06/12/2021,12/12/2021,49,"€156,95",100 KG,Average S + E
BE,Belgium,06/12/2021,12/12/2021,49,"€119,77",100 KG,Average S + E
BE,Belgium,06/12/2021,12/12/2021,49,"€109,92",100 KG,E
BE,Belgium,06/12/2021,12/12/2021,49,"€121,23",100 KG,S
BE,Belgium,06/12/2021,12/12/2021,49,"€19,25",P,Piglet
BG,Bulgaria,06/12/2021,12/12/2021,49,"€175,68",100 KG,Average S + E
BG,Bulgaria,06/12/2021,12/12/2021,49,"€175,68",100 KG,E
HR,Croatia,06/12/2021,12/12/2021,49,"€43,24",P,Piglet
HR,Croatia,06/12/2021,12/12/2021,49,"€142,31",100 KG,S
HR,Croatia,06/12/2021,12/12/2021,49,"€137,93",100 KG,E
HR,Croatia,06/12/2021,12/12/2021,49,"€139,79",100 KG,Average S + E
CY,Cyprus,06/12/2021,12/12/2021,49,"€190,44",100 KG,Average S + E
CY,Cyprus,06/12/2021,12/12/2021,49,"€190,44",100 KG,E
CZ,Czechia,06/12/2021,12/12/2021,49,"€108,38",100 KG,R
CZ,Czechia,06/12/2021,12/12/2021,49,"€134,42",100 KG,S
CZ,Czechia,06/12/2021,12/12/2021,49,"€132,59",100 KG,Average S + E
CZ,Czechia,06/12/2021,12/12/2021,49,"€131,27",100 KG,E
DK,Denmark,06/12/2021,12/12/2021,49,"€133,69",100 KG,Average S + E
DK,Denmark,06/12/2021,12/12/2021,49,"€134,88",100 KG,S
DK,Denmark,06/12/2021,12/12/2021,49,"€44,51",P,Piglet
DK,Denmark,06/12/2021,12/12/2021,49,"€129,64",100 KG,E
EE,Estonia,06/12/2021,12/12/2021,49,"€142,16",100 KG,S
EE,Estonia,06/12/2021,12/12/2021,49,"€38,78",P,Piglet
EE,Estonia,06/12/2021,12/12/2021,49,"€140,82",100 KG,Average S + E
EE,Estonia,06/12/2021,12/12/2021,49,"€139,54",100 KG,E
EU,European Union,06/12/2021,12/12/2021,49,"€132,46",100 KG,Average S + E
EU,European Union,06/12/2021,12/12/2021,49,"€131,04",100 KG,E
EU,European Union,06/12/2021,12/12/2021,49,"€30,90",P,Piglet
EU,European Union,06/12/2021,12/12/2021,49,"€133,16",100 KG,S
EU,European Union,06/12/2021,12/12/2021,49,"€180,61",100 KG,R
FI,Finland,06/12/2021,12/12/2021,49,"€36,56",P,Piglet
FI,Finland,06/12/2021,12/12/2021,49,"€166,40",100 KG,E
FI,Finland,06/12/2021,12/12/2021,49,"€170,08",100 KG,Average S + E
FI,Finland,06/12/2021,12/12/2021,49,"€174,56",100 KG,S
FR,France,06/12/2021,12/12/2021,49,"€26,25",P,Piglet
FR,France,06/12/2021,12/12/2021,49,"€142,00",100 KG,S
FR,France,06/12/2021,12/12/2021,49,"€140,28",100 KG,Average S + E
FR,France,06/12/2021,12/12/2021,49,"€135,00",100 KG,E
DE,Germany,06/12/2021,12/12/2021,49,"€130,75",100 KG,Average S + E
DE,Germany,06/12/2021,12/12/2021,49,"€129,25",100 KG,E
DE,Germany,06/12/2021,12/12/2021,49,"€100,18",100 KG,R
DE,Germany,06/12/2021,12/12/2021,49,"€131,62",100 KG,S
DE,Germany,06/12/2021,12/12/2021,49,"€24,30",P,Piglet
EL,Greece,06/12/2021,12/12/2021,49,"€158,75",100 KG,S
EL,Greece,06/12/2021,12/12/2021,49,"€158,75",100 KG,Average S + E
EL,Greece,06/12/2021,12/12/2021,49,"€158,75",100 KG,E
EL,Greece,06/12/2021,12/12/2021,49,"€158,75",100 KG,R
HU,Hungary,06/12/2021,12/12/2021,49,"€125,56",100 KG,E
HU,Hungary,06/12/2021,12/12/2021,49,"€129,22",100 KG,S
HU,Hungary,06/12/2021,12/12/2021,49,"€127,29",100 KG,Average S + E
IE,Ireland,06/12/2021,12/12/2021,49,"€144,58",100 KG,S
