memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
LT,Lithuania,30/11/2015,06/12/2015,49,"€126,97",100 KG,Average S + E
LU,Luxembourg,30/11/2015,06/12/2015,49,"€130,95",100 KG,Average S + E
LU,Luxembourg,30/11/2015,06/12/2015,49,"€125,40",100 KG,E
LU,Luxembourg,30/11/2015,06/12/2015,49,"€98,00",100 KG,R
LU,Luxembourg,30/11/2015,06/12/2015,49,"€35,38",P,Piglet
LU,Luxembourg,30/11/2015,06/12/2015,49,"€133,60",100 KG,S
MT,Malta,30/11/2015,06/12/2015,49,"€228,00",100 KG,Average S + E
MT,Malta,30/11/2015,06/12/2015,49,"€228,00",100 KG,E
MT,Malta,30/11/2015,06/12/2015,49,"€228,00",100 KG,S
MT,Malta,30/11/2015,06/12/2015,49,"€224,00",100 KG,R
MT,Malta,30/11/2015,06/12/2015,49,"€91,36",P,Piglet
NL,Netherlands,30/11/2015,06/12/2015,49,"€108,26",100 KG,Average S + E
NL,Netherlands,30/11/2015,06/12/2015,49,"€108,83",100 KG,S
NL,Netherlands,30/11/2015,06/12/2015,49,"€20,00",P,Piglet
NL,Netherlands,30/11/2015,06/12/2015,49,"€107,69",100 KG,E
PL,Poland,30/11/2015,06/12/2015,49,"€117,30",100 KG,Average S + E
PL,Poland,30/11/2015,06/12/2015,49,"€32,19",P,Piglet
PL,Poland,30/11/2015,06/12/2015,49,"€116,90",100 KG,E
PL,Poland,30/11/2015,06/12/2015,49,"€118,53",100 KG,S
PT,Portugal,30/11/2015,06/12/2015,49,"€35,00",P,Piglet
PT,Portugal,30/11/2015,06/12/2015,49,"€121,00",100 KG,E
PT,Portugal,30/11/2015,06/12/2015,49,"€121,00",100 KG,Average S + E
RO,Romania,30/11/2015,06/12/2015,49,"€139,89",100 KG,Average S + E
RO,Romania,30/11/2015,06/12/2015,49,"€141,21",100 KG,S
RO,Romania,30/11/2015,06/12/2015,49,"€138,17",100 KG,E
SK,Slovakia,30/11/2015,06/12/2015,49,"€139,55",100 KG,S
SK,Slovakia,30/11/2015,06/12/2015,49,"€139,99",100 KG,Average S + E
SK,Slovakia,30/11/2015,06/12/2015,49,"€140,87",100 KG,E
SK,Slovakia,30/11/2015,06/12/2015,49,"€55,77",P,Piglet
SK,Slovakia,30/11/2015,06/12/2015,49,"€131,57",100 KG,R
SI,Slovenia,30/11/2015,06/12/2015,49,"€157,04",100 KG,S
SI,Slovenia,30/11/2015,06/12/2015,49,"€142,06",100 KG,E
SI,Slovenia,30/11/2015,06/12/2015,49,"€152,52",100 KG,Average S + E
ES,Spain,30/11/2015,06/12/2015,49,"€122,18",100 KG,R
ES,Spain,30/11/2015,06/12/2015,49,"€123,05",100 KG,S
ES,Spain,30/11/2015,06/12/2015,49,"€23,93",P,Piglet
ES,Spain,30/11/2015,06/12/2015,49,"€118,83",100 KG,E
ES,Spain,30/11/2015,06/12/2015,49,"€122,46",100 KG,Average S + E
SE,Sweden,30/11/2015,06/12/2015,49,"€193,06",100 KG,Average S + E
SE,Sweden,30/11/2015,06/12/2015,49,"€191,02",100 KG,E
SE,Sweden,30/11/2015,06/12/2015,49,"€82,10",P,Piglet
SE,Sweden,30/11/2015,06/12/2015,49,"€196,97",100 KG,S
UK,UK up to 01/02/2020,30/11/2015,06/12/2015,49,"€178,34",100 KG,Average S + E
UK,UK up to 01/02/2020,30/11/2015,06/12/2015,49,"€174,56",100 KG,E
UK,UK up to 01/02/2020,30/11/2015,06/12/2015,49,"€179,48",100 KG,S
UK,UK up to 01/02/2020,30/11/2015,06/12/2015,49,"€189,48",100 KG,R
UK,UK up to 01/02/2020,30/11/2015,06/12/2015,49,"€56,16",P,Piglet
AT,Austria,19/10/2015,25/10/2015,43,"€152,71",100 KG,Average S + E
AT,Austria,19/10/2015,25/10/2015,43,"€157,00",100 KG,S
AT,Austria,19/10/2015,25/10/2015,43,"€144,48",100 KG,E
BE,Belgium,19/10/2015,25/10/2015,43,"€123,40",100 KG,E
BE,Belgium,19/10/2015,25/10/2015,43,"€130,93",100 KG,Average S + E
BE,Belgium,19/10/2015,25/10/2015,43,"€31,00",P,Piglet
BE,Belgium,19/10/2015,25/10/2015,43,"€132,30",100 KG,S
BG,Bulgaria,19/10/2015,25/10/2015,43,"€177,29",100 KG,E
BG,Bulgaria,19/10/2015,25/10/2015,43,"€177,29",100 KG,Average S + E
HR,Croatia,19/10/2015,25/10/2015,43,"€150,84",100 KG,S
HR,Croatia,19/10/2015,25/10/2015,43,"€37,15",P,Piglet
HR,Croatia,19/10/2015,25/10/2015,43,"€148,86",100 KG,Average S + E
HR,Croatia,19/10/2015,25/10/2015,43,"€147,69",100 KG,E
CY,Cyprus,19/10/2015,25/10/2015,43,"€158,32",100 KG,Average S + E
CY,Cyprus,19/10/2015,25/10/2015,43,"€158,32",100 KG,E
