memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,30/11/2020,06/12/2020,49,"€144,38",100 KG,Average S + E
AT,Austria,30/11/2020,06/12/2020,49,"€148,03",100 KG,S
AT,Austria,30/11/2020,06/12/2020,49,"€136,05",100 KG,E
BE,Belgium,30/11/2020,06/12/2020,49,"€94,11",100 KG,Average S + E
BE,Belgium,30/11/2020,06/12/2020,49,"€87,20",100 KG,E
BE,Belgium,30/11/2020,06/12/2020,49,"€22,50",P,Piglet
BE,Belgium,30/11/2020,06/12/2020,49,"€95,10",100 KG,S
BG,Bulgaria,30/11/2020,06/12/2020,49,"€178,43",100 KG,Average S + E
BG,Bulgaria,30/11/2020,06/12/2020,49,"€178,43",100 KG,E
HR,Croatia,30/11/2020,06/12/2020,49,"€133,33",100 KG,Average S + E
HR,Croatia,30/11/2020,06/12/2020,49,"€134,58",100 KG,E
HR,Croatia,30/11/2020,06/12/2020,49,"€38,41",P,Piglet
HR,Croatia,30/11/2020,06/12/2020,49,"€131,67",100 KG,S
CY,Cyprus,30/11/2020,06/12/2020,49,"€132,86",100 KG,Average S + E
CY,Cyprus,30/11/2020,06/12/2020,49,"€132,86",100 KG,E
CZ,Czechia,30/11/2020,06/12/2020,49,"€128,95",100 KG,Average S + E
CZ,Czechia,30/11/2020,06/12/2020,49,"€127,85",100 KG,E
CZ,Czechia,30/11/2020,06/12/2020,49,"€130,66",100 KG,S
DK,Denmark,30/11/2020,06/12/2020,49,"€145,49",100 KG,Average S + E
DK,Denmark,30/11/2020,06/12/2020,49,"€146,99",100 KG,S
DK,Denmark,30/11/2020,06/12/2020,49,"€50,38",P,Piglet
DK,Denmark,30/11/2020,06/12/2020,49,"€141,07",100 KG,E
EE,Estonia,30/11/2020,06/12/2020,49,"€141,68",100 KG,Average S + E
EE,Estonia,30/11/2020,06/12/2020,49,"€142,48",100 KG,S
EE,Estonia,30/11/2020,06/12/2020,49,"€140,80",100 KG,E
EU,European Union,30/11/2020,06/12/2020,49,"€160,94",100 KG,R
EU,European Union,30/11/2020,06/12/2020,49,"€33,76",P,Piglet
EU,European Union,30/11/2020,06/12/2020,49,"€128,95",100 KG,E
EU,European Union,30/11/2020,06/12/2020,49,"€134,45",100 KG,S
EU,European Union,30/11/2020,06/12/2020,49,"€132,63",100 KG,Average S + E
FI,Finland,30/11/2020,06/12/2020,49,"€164,45",100 KG,Average S + E
FI,Finland,30/11/2020,06/12/2020,49,"€137,91",100 KG,R
FI,Finland,30/11/2020,06/12/2020,49,"€38,73",P,Piglet
FI,Finland,30/11/2020,06/12/2020,49,"€162,31",100 KG,E
FI,Finland,30/11/2020,06/12/2020,49,"€166,93",100 KG,S
FR,France,30/11/2020,06/12/2020,49,"€143,00",100 KG,S
FR,France,30/11/2020,06/12/2020,49,"€26,00",P,Piglet
FR,France,30/11/2020,06/12/2020,49,"€136,00",100 KG,E
FR,France,30/11/2020,06/12/2020,49,"€141,24",100 KG,Average S + E
DE,Germany,30/11/2020,06/12/2020,49,"€124,69",100 KG,Average S + E
DE,Germany,30/11/2020,06/12/2020,49,"€96,28",100 KG,R
DE,Germany,30/11/2020,06/12/2020,49,"€25,50",P,Piglet
DE,Germany,30/11/2020,06/12/2020,49,"€125,58",100 KG,S
DE,Germany,30/11/2020,06/12/2020,49,"€123,15",100 KG,E
EL,Greece,30/11/2020,06/12/2020,49,"€154,14",100 KG,S
EL,Greece,30/11/2020,06/12/2020,49,"€154,14",100 KG,E
EL,Greece,30/11/2020,06/12/2020,49,"€154,14",100 KG,Average S + E
HU,Hungary,30/11/2020,06/12/2020,49,"€129,26",100 KG,Average S + E
HU,Hungary,30/11/2020,06/12/2020,49,"€130,78",100 KG,S
HU,Hungary,30/11/2020,06/12/2020,49,"€38,33",P,Piglet
HU,Hungary,30/11/2020,06/12/2020,49,"€127,84",100 KG,E
IE,Ireland,30/11/2020,06/12/2020,49,"€155,69",100 KG,Average S + E
IE,Ireland,30/11/2020,06/12/2020,49,"€155,57",100 KG,E
IE,Ireland,30/11/2020,06/12/2020,49,"€155,98",100 KG,S
IT,Italy,30/11/2020,06/12/2020,49,"€165,35",100 KG,R
IT,Italy,30/11/2020,06/12/2020,49,"€55,35",P,Piglet
LV,Latvia,30/11/2020,06/12/2020,49,"€110,31",100 KG,E
LV,Latvia,30/11/2020,06/12/2020,49,"€108,90",100 KG,S
LV,Latvia,30/11/2020,06/12/2020,49,"€109,47",100 KG,Average S + E
