memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,03/12/2012,09/12/2012,49,"€171,53",100 KG,Average S + E
AT,Austria,03/12/2012,09/12/2012,49,"€171,53",100 KG,E
BE,Belgium,03/12/2012,09/12/2012,49,"€43,50",P,Piglet
BE,Belgium,03/12/2012,09/12/2012,49,"€161,30",100 KG,E
BE,Belgium,03/12/2012,09/12/2012,49,"€161,30",100 KG,Average S + E
BG,Bulgaria,03/12/2012,09/12/2012,49,"€207,16",100 KG,E
BG,Bulgaria,03/12/2012,09/12/2012,49,"€207,16",100 KG,Average S + E
CY,Cyprus,03/12/2012,09/12/2012,49,"€205,00",100 KG,E
CY,Cyprus,03/12/2012,09/12/2012,49,"€205,00",100 KG,Average S + E
CZ,Czechia,03/12/2012,09/12/2012,49,"€184,72",100 KG,E
CZ,Czechia,03/12/2012,09/12/2012,49,"€184,72",100 KG,Average S + E
CZ,Czechia,03/12/2012,09/12/2012,49,"€65,33",P,Piglet
DK,Denmark,03/12/2012,09/12/2012,49,"€171,32",100 KG,E
DK,Denmark,03/12/2012,09/12/2012,49,"€47,72",P,Piglet
DK,Denmark,03/12/2012,09/12/2012,49,"€171,32",100 KG,Average S + E
EU+UK,EU + UK,03/12/2012,09/12/2012,49,"€175,16",100 KG,E
EU+UK,EU + UK,03/12/2012,09/12/2012,49,"€47,55",P,Piglet
EU+UK,EU + UK,03/12/2012,09/12/2012,49,"€175,16",100 KG,Average S + E
EE,Estonia,03/12/2012,09/12/2012,49,"€178,47",100 KG,Average S + E
EE,Estonia,03/12/2012,09/12/2012,49,"€43,79",P,Piglet
EE,Estonia,03/12/2012,09/12/2012,49,"€178,47",100 KG,E
EU,European Union,03/12/2012,09/12/2012,49,"€174,62",100 KG,Average S + E
EU,European Union,03/12/2012,09/12/2012,49,"€174,62",100 KG,E
EU,European Union,03/12/2012,09/12/2012,49,"€47,06",P,Piglet
FI,Finland,03/12/2012,09/12/2012,49,"€180,39",100 KG,E
FI,Finland,03/12/2012,09/12/2012,49,"€180,39",100 KG,Average S + E
FI,Finland,03/12/2012,09/12/2012,49,"€55,01",P,Piglet
FR,France,03/12/2012,09/12/2012,49,"€29,60",P,Piglet
FR,France,03/12/2012,09/12/2012,49,"€161,00",100 KG,Average S + E
FR,France,03/12/2012,09/12/2012,49,"€161,00",100 KG,E
DE,Germany,03/12/2012,09/12/2012,49,"€177,48",100 KG,E
DE,Germany,03/12/2012,09/12/2012,49,"€177,48",100 KG,Average S + E
DE,Germany,03/12/2012,09/12/2012,49,"€57,00",P,Piglet
EL,Greece,03/12/2012,09/12/2012,49,"€206,70",100 KG,Average S + E
EL,Greece,03/12/2012,09/12/2012,49,"€206,70",100 KG,E
HU,Hungary,03/12/2012,09/12/2012,49,"€38,37",P,Piglet
HU,Hungary,03/12/2012,09/12/2012,49,"€175,21",100 KG,E
HU,Hungary,03/12/2012,09/12/2012,49,"€175,21",100 KG,Average S + E
IE,Ireland,03/12/2012,09/12/2012,49,"€171,42",100 KG,E
IE,Ireland,03/12/2012,09/12/2012,49,"€171,42",100 KG,Average S + E
IT,Italy,03/12/2012,09/12/2012,49,"€65,54",P,Piglet
IT,Italy,03/12/2012,09/12/2012,49,"€191,62",100 KG,Average S + E
IT,Italy,03/12/2012,09/12/2012,49,"€191,62",100 KG,E
LV,Latvia,03/12/2012,09/12/2012,49,"€192,37",100 KG,E
LV,Latvia,03/12/2012,09/12/2012,49,"€192,37",100 KG,Average S + E
LT,Lithuania,03/12/2012,09/12/2012,49,"€183,00",100 KG,E
LT,Lithuania,03/12/2012,09/12/2012,49,"€183,00",100 KG,Average S + E
LU,Luxembourg,03/12/2012,09/12/2012,49,"€175,10",100 KG,E
LU,Luxembourg,03/12/2012,09/12/2012,49,"€48,00",P,Piglet
LU,Luxembourg,03/12/2012,09/12/2012,49,"€175,10",100 KG,Average S + E
MT,Malta,03/12/2012,09/12/2012,49,"€87,14",P,Piglet
MT,Malta,03/12/2012,09/12/2012,49,"€216,33",100 KG,Average S + E
MT,Malta,03/12/2012,09/12/2012,49,"€216,33",100 KG,E
NL,Netherlands,03/12/2012,09/12/2012,49,"€159,65",100 KG,E
NL,Netherlands,03/12/2012,09/12/2012,49,"€35,50",P,Piglet
NL,Netherlands,03/12/2012,09/12/2012,49,"€159,65",100 KG,Average S + E
PL,Poland,03/12/2012,09/12/2012,49,"€174,91",100 KG,E
PL,Poland,03/12/2012,09/12/2012,49,"€174,91",100 KG,Average S + E
PL,Poland,03/12/2012,09/12/2012,49,"€43,73",P,Piglet
PT,Portugal,03/12/2012,09/12/2012,49,"€175,00",100 KG,E
PT,Portugal,03/12/2012,09/12/2012,49,"€37,00",P,Piglet
PT,Portugal,03/12/2012,09/12/2012,49,"€175,00",100 KG,Average S + E
RO,Romania,03/12/2012,09/12/2012,49,"€194,24",100 KG,Average S + E
RO,Romania,03/12/2012,09/12/2012,49,"€194,24",100 KG,E
SK,Slovakia,03/12/2012,09/12/2012,49,"€187,40",100 KG,Average S + E
SK,Slovakia,03/12/2012,09/12/2012,49,"€187,40",100 KG,E
SK,Slovakia,03/12/2012,09/12/2012,49,"€68,63",P,Piglet
SI,Slovenia,03/12/2012,09/12/2012,49,"€170,77",100 KG,E
SI,Slovenia,03/12/2012,09/12/2012,49,"€170,77",100 KG,Average S + E
ES,Spain,03/12/2012,09/12/2012,49,"€175,90",100 KG,E
ES,Spain,03/12/2012,09/12/2012,49,"€45,17",P,Piglet
ES,Spain,03/12/2012,09/12/2012,49,"€175,90",100 KG,Average S + E
SE,Sweden,03/12/2012,09/12/2012,49,"€184,09",100 KG,Average S + E
SE,Sweden,03/12/2012,09/12/2012,49,"€184,09",100 KG,E
SE,Sweden,03/12/2012,09/12/2012,49,"€83,97",P,Piglet
UK,UK up to 01/02/2020,03/12/2012,09/12/2012,49,"€193,25",100 KG,E
