memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,06/12/2010,12/12/2010,49,"€140,71",100 KG,Average S + E
AT,Austria,06/12/2010,12/12/2010,49,"€140,71",100 KG,E
BE,Belgium,06/12/2010,12/12/2010,49,"€130,70",100 KG,Average S + E
BE,Belgium,06/12/2010,12/12/2010,49,"€130,70",100 KG,E
BE,Belgium,06/12/2010,12/12/2010,49,"€34,50",P,Piglet
BG,Bulgaria,06/12/2010,12/12/2010,49,"€171,00",100 KG,E
BG,Bulgaria,06/12/2010,12/12/2010,49,"€171,00",100 KG,Average S + E
CY,Cyprus,06/12/2010,12/12/2010,49,"€173,00",100 KG,E
CY,Cyprus,06/12/2010,12/12/2010,49,"€173,00",100 KG,Average S + E
CZ,Czechia,06/12/2010,12/12/2010,49,"€137,58",100 KG,Average S + E
CZ,Czechia,06/12/2010,12/12/2010,49,"€137,58",100 KG,E
CZ,Czechia,06/12/2010,12/12/2010,49,"€62,65",P,Piglet
DK,Denmark,06/12/2010,12/12/2010,49,"€126,24",100 KG,Average S + E
DK,Denmark,06/12/2010,12/12/2010,49,"€126,24",100 KG,E
DK,Denmark,06/12/2010,12/12/2010,49,"€36,09",P,Piglet
EU+UK,EU + UK,06/12/2010,12/12/2010,49,"€138,64",100 KG,Average S + E
EU+UK,EU + UK,06/12/2010,12/12/2010,49,"€138,64",100 KG,E
EU+UK,EU + UK,06/12/2010,12/12/2010,49,"€35,28",P,Piglet
EE,Estonia,06/12/2010,12/12/2010,49,"€143,76",100 KG,Average S + E
EE,Estonia,06/12/2010,12/12/2010,49,"€38,48",P,Piglet
EE,Estonia,06/12/2010,12/12/2010,49,"€143,76",100 KG,E
EU,European Union,06/12/2010,12/12/2010,49,"€138,04",100 KG,Average S + E
EU,European Union,06/12/2010,12/12/2010,49,"€34,77",P,Piglet
EU,European Union,06/12/2010,12/12/2010,49,"€138,04",100 KG,E
FI,Finland,06/12/2010,12/12/2010,49,"€49,42",P,Piglet
FI,Finland,06/12/2010,12/12/2010,49,"€146,99",100 KG,Average S + E
FI,Finland,06/12/2010,12/12/2010,49,"€146,99",100 KG,E
FR,France,06/12/2010,12/12/2010,49,"€127,00",100 KG,E
FR,France,06/12/2010,12/12/2010,49,"€24,20",P,Piglet
FR,France,06/12/2010,12/12/2010,49,"€127,00",100 KG,Average S + E
DE,Germany,06/12/2010,12/12/2010,49,"€44,10",P,Piglet
DE,Germany,06/12/2010,12/12/2010,49,"€149,59",100 KG,Average S + E
DE,Germany,06/12/2010,12/12/2010,49,"€149,59",100 KG,E
EL,Greece,06/12/2010,12/12/2010,49,"€168,26",100 KG,Average S + E
EL,Greece,06/12/2010,12/12/2010,49,"€168,26",100 KG,E
HU,Hungary,06/12/2010,12/12/2010,49,"€139,97",100 KG,E
