memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,category,productCode
AT,Austria,06/12/2021,12/12/2021,49,€262.72,€/100Kg,Cows,D P3
AT,Austria,06/12/2021,12/12/2021,49,€308.23,€/100Kg,Cows,D O4
AT,Austria,06/12/2021,12/12/2021,49,€330.60,€/100Kg,Cows,D R4
AT,Austria,06/12/2021,12/12/2021,49,€318.19,€/100Kg,Heifers,E O2
AT,Austria,06/12/2021,12/12/2021,49,€462.27,€/100Kg,Steers,C U4
AT,Austria,06/12/2021,12/12/2021,49,€328.66,€/100Kg,Heifers,E O3
AT,Austria,06/12/2021,12/12/2021,49,€412.45,€/100Kg,Heifers,E R2
AT,Austria,06/12/2021,12/12/2021,49,€405.00,€/100Kg,Steers,C O4
AT,Austria,06/12/2021,12/12/2021,49,€299.76,€/100Kg,Cows,D O2
AT,Austria,06/12/2021,12/12/2021,49,€438.66,€/100Kg,Young bulls,A R2
AT,Austria,06/12/2021,12/12/2021,49,€434.71,€/100Kg,Adult male indicative price,ACZ URO
AT,Austria,06/12/2021,12/12/2021,49,€474.42,€/100Kg,Steers,C U2
AT,Austria,06/12/2021,12/12/2021,49,€265.97,€/100Kg,Cows,D P2
AT,Austria,06/12/2021,12/12/2021,49,€327.79,€/100Kg,Heifers,E O4
AT,Austria,06/12/2021,12/12/2021,49,€432.22,€/100Kg,Heifers,E U3
AT,Austria,06/12/2021,12/12/2021,49,€521.87,€/100Kg,Young cattle,Z U3
AT,Austria,06/12/2021,12/12/2021,49,€301.58,€/100Kg,Cows,D O3
AT,Austria,06/12/2021,12/12/2021,49,€509.19,€/100Kg,Young cattle,Z U2
AT,Austria,06/12/2021,12/12/2021,49,€393.18,€/100Kg,Young bulls,A O2
AT,Austria,06/12/2021,12/12/2021,49,€404.75,€/100Kg,Young bulls,A O3
AT,Austria,06/12/2021,12/12/2021,49,€318.08,€/100Kg,Young cattle,Z O2
AT,Austria,06/12/2021,12/12/2021,49,€403.65,€/100Kg,Steers,C O3
AT,Austria,06/12/2021,12/12/2021,49,€465.67,€/100Kg,Steers,C U3
AT,Austria,06/12/2021,12/12/2021,49,€411.60,€/100Kg,Heifers,E R3
AT,Austria,06/12/2021,12/12/2021,49,€390.51,€/100Kg,Heifers,E R4
AT,Austria,06/12/2021,12/12/2021,49,€413.78,€/100Kg,Heifers,E U4
AT,Austria,06/12/2021,12/12/2021,49,€444.35,€/100Kg,Young bulls,A R3
AT,Austria,06/12/2021,12/12/2021,49,€450.97,€/100Kg,Young bulls,A U2
AT,Austria,06/12/2021,12/12/2021,49,€480.14,€/100Kg,Young cattle,Z R2
AT,Austria,06/12/2021,12/12/2021,49,€504.44,€/100Kg,Young cattle,Z R3
AT,Austria,06/12/2021,12/12/2021,49,€392.07,€/100Kg,Bulls,B R3
AT,Austria,06/12/2021,12/12/2021,49,€458.30,€/100Kg,Steers,C R4
AT,Austria,06/12/2021,12/12/2021,49,€449.35,€/100Kg,Heifers,E U2
AT,Austria,06/12/2021,12/12/2021,49,€457.91,€/100Kg,Young bulls,A U3
AT,Austria,06/12/2021,12/12/2021,49,€462.05,€/100Kg,Steers,C R3
AT,Austria,06/12/2021,12/12/2021,49,€325.55,€/100Kg,Cows,D R3
BE,Belgium,06/12/2021,12/12/2021,49,€310.98,€/100Kg,Cows,D O3
BE,Belgium,06/12/2021,12/12/2021,49,€378.10,€/100Kg,Young bulls,A U3
BE,Belgium,06/12/2021,12/12/2021,49,€330.93,€/100Kg,Young bulls,A R3
BE,Belgium,06/12/2021,12/12/2021,49,€251.40,€/100Kg,Cows,D P2
BE,Belgium,06/12/2021,12/12/2021,49,€415.59,€/100Kg,Young bulls,A U2
BE,Belgium,06/12/2021,12/12/2021,49,€385.82,€/100Kg,Adult male indicative price,ACZ URO
BE,Belgium,06/12/2021,12/12/2021,49,€365.47,€/100Kg,Cows,D R3
BE,Belgium,06/12/2021,12/12/2021,49,€657.80,€/100Kg,Calves slaughtered <8M,CALVES-LT8MONTHS
BE,Belgium,06/12/2021,12/12/2021,49,€260.89,€/100Kg,Cows,D P3
BE,Belgium,06/12/2021,12/12/2021,49,€314.47,€/100Kg,Cows,D O2
BE,Belgium,06/12/2021,12/12/2021,49,€297.66,€/100Kg,Young bulls,A O3
BE,Belgium,06/12/2021,12/12/2021,49,€397.00,€/100Kg,Heifers,E U3
BE,Belgium,06/12/2021,12/12/2021,49,€329.14,€/100Kg,Young bulls,A O2
