memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,02/12/2013,08/12/2013,49,"€175,06",100 KG,E
AT,Austria,02/12/2013,08/12/2013,49,"€175,06",100 KG,Average S + E
BE,Belgium,02/12/2013,08/12/2013,49,"€158,10",100 KG,Average S + E
BE,Belgium,02/12/2013,08/12/2013,49,"€158,10",100 KG,E
BE,Belgium,02/12/2013,08/12/2013,49,"€43,00",P,Piglet
BG,Bulgaria,02/12/2013,08/12/2013,49,"€198,88",100 KG,Average S + E
BG,Bulgaria,02/12/2013,08/12/2013,49,"€198,88",100 KG,E
HR,Croatia,02/12/2013,08/12/2013,49,"€33,62",P,Piglet
HR,Croatia,02/12/2013,08/12/2013,49,"€169,91",100 KG,Average S + E
HR,Croatia,02/12/2013,08/12/2013,49,"€169,91",100 KG,E
CY,Cyprus,02/12/2013,08/12/2013,49,"€191,00",100 KG,Average S + E
CY,Cyprus,02/12/2013,08/12/2013,49,"€191,00",100 KG,E
CZ,Czechia,02/12/2013,08/12/2013,49,"€170,51",100 KG,E
CZ,Czechia,02/12/2013,08/12/2013,49,"€170,51",100 KG,Average S + E
CZ,Czechia,02/12/2013,08/12/2013,49,"€56,47",P,Piglet
DK,Denmark,02/12/2013,08/12/2013,49,"€162,88",100 KG,E
DK,Denmark,02/12/2013,08/12/2013,49,"€162,88",100 KG,Average S + E
DK,Denmark,02/12/2013,08/12/2013,49,"€48,93",P,Piglet
EU+UK,EU + UK,02/12/2013,08/12/2013,49,"€170,85",100 KG,Average S + E
EU+UK,EU + UK,02/12/2013,08/12/2013,49,"€170,85",100 KG,E
EU+UK,EU + UK,02/12/2013,08/12/2013,49,"€47,37",P,Piglet
EE,Estonia,02/12/2013,08/12/2013,49,"€170,70",100 KG,Average S + E
EE,Estonia,02/12/2013,08/12/2013,49,"€170,70",100 KG,E
EE,Estonia,02/12/2013,08/12/2013,49,"€39,39",P,Piglet
EU,European Union,02/12/2013,08/12/2013,49,"€46,69",P,Piglet
EU,European Union,02/12/2013,08/12/2013,49,"€170,35",100 KG,Average S + E
EU,European Union,02/12/2013,08/12/2013,49,"€170,35",100 KG,E
FI,Finland,02/12/2013,08/12/2013,49,"€173,13",100 KG,Average S + E
FI,Finland,02/12/2013,08/12/2013,49,"€173,13",100 KG,E
FI,Finland,02/12/2013,08/12/2013,49,"€54,18",P,Piglet
FR,France,02/12/2013,08/12/2013,49,"€154,00",100 KG,Average S + E
FR,France,02/12/2013,08/12/2013,49,"€154,00",100 KG,E
FR,France,02/12/2013,08/12/2013,49,"€34,80",P,Piglet
DE,Germany,02/12/2013,08/12/2013,49,"€57,10",P,Piglet
DE,Germany,02/12/2013,08/12/2013,49,"€172,89",100 KG,Average S + E
DE,Germany,02/12/2013,08/12/2013,49,"€172,89",100 KG,E
EL,Greece,02/12/2013,08/12/2013,49,"€200,57",100 KG,Average S + E
EL,Greece,02/12/2013,08/12/2013,49,"€200,57",100 KG,E
HU,Hungary,02/12/2013,08/12/2013,49,"€173,47",100 KG,Average S + E
HU,Hungary,02/12/2013,08/12/2013,49,"€33,38",P,Piglet
HU,Hungary,02/12/2013,08/12/2013,49,"€173,47",100 KG,E
IE,Ireland,02/12/2013,08/12/2013,49,"€165,79",100 KG,E
IE,Ireland,02/12/2013,08/12/2013,49,"€165,79",100 KG,Average S + E
IT,Italy,02/12/2013,08/12/2013,49,"€195,75",100 KG,Average S + E
IT,Italy,02/12/2013,08/12/2013,49,"€195,75",100 KG,E
IT,Italy,02/12/2013,08/12/2013,49,"€62,13",P,Piglet
LV,Latvia,02/12/2013,08/12/2013,49,"€180,61",100 KG,E
LV,Latvia,02/12/2013,08/12/2013,49,"€180,61",100 KG,Average S + E
LT,Lithuania,02/12/2013,08/12/2013,49,"€177,39",100 KG,E
LT,Lithuania,02/12/2013,08/12/2013,49,"€177,39",100 KG,Average S + E
LU,Luxembourg,02/12/2013,08/12/2013,49,"€170,50",100 KG,Average S + E
LU,Luxembourg,02/12/2013,08/12/2013,49,"€170,50",100 KG,E
LU,Luxembourg,02/12/2013,08/12/2013,49,"€42,30",P,Piglet
MT,Malta,02/12/2013,08/12/2013,49,"€237,00",100 KG,E
MT,Malta,02/12/2013,08/12/2013,49,"€237,00",100 KG,Average S + E
MT,Malta,02/12/2013,08/12/2013,49,"€91,32",P,Piglet
NL,Netherlands,02/12/2013,08/12/2013,49,"€154,68",100 KG,E
NL,Netherlands,02/12/2013,08/12/2013,49,"€38,00",P,Piglet
