memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,productName,marketName,stageName
AT,Austria,18/12/2017,24/12/2017,25,"€175,00",TONNES,Milling wheat,Wien,Departure from silo - after some storage - on truck or other transport means
AT,Austria,18/12/2017,24/12/2017,25,"€139,50",TONNES,Feed barley,Wien,Departure from silo - after some storage - on truck or other transport means
BE,Belgium,18/12/2017,24/12/2017,25,"€168,00",TONNES,Milling wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,18/12/2017,24/12/2017,25,"€162,00",TONNES,Feed barley,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,18/12/2017,24/12/2017,25,"€164,00",TONNES,Feed oats,Antwerpen,Departure from farm or from production area - on truck or other transport means
BE,Belgium,18/12/2017,24/12/2017,25,"€163,00",TONNES,Feed wheat,Antwerpen,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,18/12/2017,24/12/2017,25,"€138,05",TONNES,Feed barley,Burgas,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,18/12/2017,24/12/2017,25,"€135,49",TONNES,Maize,Pleven,Departure from farm or from production area - on truck or other transport means
BG,Bulgaria,18/12/2017,24/12/2017,25,"€145,72",TONNES,Milling wheat,Dobrich,Departure from farm or from production area - on truck or other transport means
HR,Croatia,18/12/2017,24/12/2017,25,"€151,10",TONNES,Maize,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
HR,Croatia,18/12/2017,24/12/2017,25,"€153,75",TONNES,Milling wheat,Zagreb Depsilo,Departure from silo - after some storage - on truck or other transport means
CZ,Czechia,18/12/2017,24/12/2017,25,"€158,51",TONNES,Milling wheat,Praha (Delivered),Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,18/12/2017,24/12/2017,25,"€165,00",TONNES,Malting barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,18/12/2017,24/12/2017,25,"€173,00",TONNES,Milling wheat,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FI,Finland,18/12/2017,24/12/2017,25,"€135,00",TONNES,Feed oats,Seinäjoki,Deliver to first customer - silo or processing plant - on truck or other transport means
FI,Finland,18/12/2017,24/12/2017,25,"€135,00",TONNES,Feed barley,Naantali,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,18/12/2017,24/12/2017,25,"€158,65",TONNES,Milling wheat,La Pallice,Delivered to port - grain delivered to a port silo by train or truck or barge
FR,France,18/12/2017,24/12/2017,25,"€199,65",TONNES,Malting barley,Creil,Free On Board - Incoterm
FR,France,18/12/2017,24/12/2017,25,"€199,65",TONNES,Malting barley,Creil,Free On Board - Incoterm
FR,France,18/12/2017,24/12/2017,25,"€158,65",TONNES,Malting barley,Creil,Free On Board - Incoterm
FR,France,18/12/2017,24/12/2017,25,"€158,65",TONNES,Malting barley,Creil,Free On Board - Incoterm
FR,France,18/12/2017,24/12/2017,25,"€157,65",TONNES,Milling wheat,Rouen,Delivered to port - grain delivered to a port silo by train or truck or barge
