memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,05/12/2016,11/12/2016,49,"€172,64",100 KG,Average S + E
AT,Austria,05/12/2016,11/12/2016,49,"€176,86",100 KG,S
AT,Austria,05/12/2016,11/12/2016,49,"€164,76",100 KG,E
BE,Belgium,05/12/2016,11/12/2016,49,"€147,07",100 KG,Average S + E
BE,Belgium,05/12/2016,11/12/2016,49,"€139,90",100 KG,E
BE,Belgium,05/12/2016,11/12/2016,49,"€50,00",P,Piglet
BE,Belgium,05/12/2016,11/12/2016,49,"€148,30",100 KG,S
BG,Bulgaria,05/12/2016,11/12/2016,49,"€172,09",100 KG,Average S + E
BG,Bulgaria,05/12/2016,11/12/2016,49,"€172,09",100 KG,E
HR,Croatia,05/12/2016,11/12/2016,49,"€160,28",100 KG,E
HR,Croatia,05/12/2016,11/12/2016,49,"€160,88",100 KG,Average S + E
HR,Croatia,05/12/2016,11/12/2016,49,"€161,87",100 KG,S
CY,Cyprus,05/12/2016,11/12/2016,49,"€187,74",100 KG,Average S + E
CY,Cyprus,05/12/2016,11/12/2016,49,"€187,74",100 KG,E
CZ,Czechia,05/12/2016,11/12/2016,49,"€158,63",100 KG,Average S + E
CZ,Czechia,05/12/2016,11/12/2016,49,"€157,24",100 KG,E
CZ,Czechia,05/12/2016,11/12/2016,49,"€40,68",P,Piglet
CZ,Czechia,05/12/2016,11/12/2016,49,"€161,42",100 KG,S
DK,Denmark,05/12/2016,11/12/2016,49,"€152,26",100 KG,Average S + E
DK,Denmark,05/12/2016,11/12/2016,49,"€154,47",100 KG,S
DK,Denmark,05/12/2016,11/12/2016,49,"€46,11",P,Piglet
DK,Denmark,05/12/2016,11/12/2016,49,"€148,55",100 KG,E
EU+UK,EU + UK,05/12/2016,11/12/2016,49,"€197,79",100 KG,R
EU+UK,EU + UK,05/12/2016,11/12/2016,49,"€46,99",P,Piglet
EU+UK,EU + UK,05/12/2016,11/12/2016,49,"€155,12",100 KG,E
EU+UK,EU + UK,05/12/2016,11/12/2016,49,"€154,35",100 KG,Average S + E
EU+UK,EU + UK,05/12/2016,11/12/2016,49,"€153,85",100 KG,S
EE,Estonia,05/12/2016,11/12/2016,49,"€156,60",100 KG,S
EE,Estonia,05/12/2016,11/12/2016,49,"€130,56",100 KG,R
EE,Estonia,05/12/2016,11/12/2016,49,"€35,64",P,Piglet
EE,Estonia,05/12/2016,11/12/2016,49,"€153,55",100 KG,Average S + E
EE,Estonia,05/12/2016,11/12/2016,49,"€150,08",100 KG,E
EU,European Union,05/12/2016,11/12/2016,49,"€153,46",100 KG,Average S + E
EU,European Union,05/12/2016,11/12/2016,49,"€154,67",100 KG,E
EU,European Union,05/12/2016,11/12/2016,49,"€46,32",P,Piglet
EU,European Union,05/12/2016,11/12/2016,49,"€197,91",100 KG,R
EU,European Union,05/12/2016,11/12/2016,49,"€152,69",100 KG,S
FI,Finland,05/12/2016,11/12/2016,49,"€151,55",100 KG,Average S + E
FI,Finland,05/12/2016,11/12/2016,49,"€149,32",100 KG,E
FI,Finland,05/12/2016,11/12/2016,49,"€35,65",P,Piglet
FI,Finland,05/12/2016,11/12/2016,49,"€118,81",100 KG,R
FI,Finland,05/12/2016,11/12/2016,49,"€153,11",100 KG,S
FR,France,05/12/2016,11/12/2016,49,"€147,76",100 KG,Average S + E
FR,France,05/12/2016,11/12/2016,49,"€142,00",100 KG,E
FR,France,05/12/2016,11/12/2016,49,"€39,40",P,Piglet
FR,France,05/12/2016,11/12/2016,49,"€150,00",100 KG,S
DE,Germany,05/12/2016,11/12/2016,49,"€166,45",100 KG,Average S + E
DE,Germany,05/12/2016,11/12/2016,49,"€164,07",100 KG,E
DE,Germany,05/12/2016,11/12/2016,49,"€54,10",P,Piglet
DE,Germany,05/12/2016,11/12/2016,49,"€169,11",100 KG,S
EL,Greece,05/12/2016,11/12/2016,49,"€179,21",100 KG,Average S + E
EL,Greece,05/12/2016,11/12/2016,49,"€179,21",100 KG,E
EL,Greece,05/12/2016,11/12/2016,49,"€179,21",100 KG,S
HU,Hungary,05/12/2016,11/12/2016,49,"€164,93",100 KG,Average S + E
HU,Hungary,05/12/2016,11/12/2016,49,"€167,02",100 KG,S
HU,Hungary,05/12/2016,11/12/2016,49,"€33,45",P,Piglet
HU,Hungary,05/12/2016,11/12/2016,49,"€163,37",100 KG,E
IE,Ireland,05/12/2016,11/12/2016,49,"€155,30",100 KG,E
IE,Ireland,05/12/2016,11/12/2016,49,"€155,54",100 KG,Average S + E
IE,Ireland,05/12/2016,11/12/2016,49,"€156,40",100 KG,S
IT,Italy,05/12/2016,11/12/2016,49,"€66,15",P,Piglet
IT,Italy,05/12/2016,11/12/2016,49,"€178,49",100 KG,E
IT,Italy,05/12/2016,11/12/2016,49,"€178,49",100 KG,Average S + E
IT,Italy,05/12/2016,11/12/2016,49,"€200,49",100 KG,R
LV,Latvia,05/12/2016,11/12/2016,49,"€141,16",100 KG,R
LV,Latvia,05/12/2016,11/12/2016,49,"€159,97",100 KG,E
LV,Latvia,05/12/2016,11/12/2016,49,"€154,56",100 KG,Average S + E
LV,Latvia,05/12/2016,11/12/2016,49,"€149,88",100 KG,S
LT,Lithuania,05/12/2016,11/12/2016,49,"€162,79",100 KG,S
LT,Lithuania,05/12/2016,11/12/2016,49,"€161,28",100 KG,Average S + E
LT,Lithuania,05/12/2016,11/12/2016,49,"€159,03",100 KG,E
LT,Lithuania,05/12/2016,11/12/2016,49,"€142,92",100 KG,R
LU,Luxembourg,05/12/2016,11/12/2016,49,"€169,70",100 KG,S
LU,Luxembourg,05/12/2016,11/12/2016,49,"€149,10",100 KG,R
LU,Luxembourg,05/12/2016,11/12/2016,49,"€164,30",100 KG,E
LU,Luxembourg,05/12/2016,11/12/2016,49,"€167,84",100 KG,Average S + E
LU,Luxembourg,05/12/2016,11/12/2016,49,"€44,49",P,Piglet
MT,Malta,05/12/2016,11/12/2016,49,"€218,00",100 KG,Average S + E
MT,Malta,05/12/2016,11/12/2016,49,"€218,00",100 KG,E
MT,Malta,05/12/2016,11/12/2016,49,"€218,00",100 KG,S
MT,Malta,05/12/2016,11/12/2016,49,"€214,00",100 KG,R
MT,Malta,05/12/2016,11/12/2016,49,"€91,36",P,Piglet
NL,Netherlands,05/12/2016,11/12/2016,49,"€141,46",100 KG,Average S + E
NL,Netherlands,05/12/2016,11/12/2016,49,"€142,01",100 KG,S
NL,Netherlands,05/12/2016,11/12/2016,49,"€40,50",P,Piglet
NL,Netherlands,05/12/2016,11/12/2016,49,"€140,87",100 KG,E
PL,Poland,05/12/2016,11/12/2016,49,"€153,56",100 KG,Average S + E
PL,Poland,05/12/2016,11/12/2016,49,"€152,89",100 KG,E
PL,Poland,05/12/2016,11/12/2016,49,"€39,37",P,Piglet
PL,Poland,05/12/2016,11/12/2016,49,"€155,59",100 KG,S
PT,Portugal,05/12/2016,11/12/2016,49,"€157,00",100 KG,Average S + E
PT,Portugal,05/12/2016,11/12/2016,49,"€157,00",100 KG,E
PT,Portugal,05/12/2016,11/12/2016,49,"€40,00",P,Piglet
PT,Portugal,05/12/2016,11/12/2016,49,"€156,00",100 KG,S
RO,Romania,05/12/2016,11/12/2016,49,"€147,15",100 KG,Average S + E
RO,Romania,05/12/2016,11/12/2016,49,"€148,52",100 KG,S
RO,Romania,05/12/2016,11/12/2016,49,"€145,23",100 KG,E
SK,Slovakia,05/12/2016,11/12/2016,49,"€164,18",100 KG,Average S + E
SK,Slovakia,05/12/2016,11/12/2016,49,"€161,50",100 KG,E
SK,Slovakia,05/12/2016,11/12/2016,49,"€62,79",P,Piglet
