memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,category,productCode
AT,Austria,01/12/2014,07/12/2014,49,€399.22,€/100Kg,Young bulls,A U3
AT,Austria,01/12/2014,07/12/2014,49,€347.96,€/100Kg,Heifers,E R4
AT,Austria,01/12/2014,07/12/2014,49,€430.60,€/100Kg,Steers,C U2
AT,Austria,01/12/2014,07/12/2014,49,€248.60,€/100Kg,Cows,D O4
AT,Austria,01/12/2014,07/12/2014,49,€391.87,€/100Kg,Young bulls,A R3
AT,Austria,01/12/2014,07/12/2014,49,€396.46,€/100Kg,Young bulls,A U2
AT,Austria,01/12/2014,07/12/2014,49,€446.54,€/100Kg,Young cattle,Z R2
AT,Austria,01/12/2014,07/12/2014,49,€386.76,€/100Kg,Young bulls,A R2
AT,Austria,01/12/2014,07/12/2014,49,€236.52,€/100Kg,Cows,D O2
AT,Austria,01/12/2014,07/12/2014,49,€302.97,€/100Kg,Heifers,E O2
AT,Austria,01/12/2014,07/12/2014,49,€398.00,€/100Kg,Steers,C U4
AT,Austria,01/12/2014,07/12/2014,49,€462.00,€/100Kg,Young cattle,Z R3
AT,Austria,01/12/2014,07/12/2014,49,€297.39,€/100Kg,Heifers,E O4
AT,Austria,01/12/2014,07/12/2014,49,€206.24,€/100Kg,Cows,D P3
AT,Austria,01/12/2014,07/12/2014,49,€266.79,€/100Kg,Cows,D R4
AT,Austria,01/12/2014,07/12/2014,49,€353.32,€/100Kg,Heifers,E R2
AT,Austria,01/12/2014,07/12/2014,49,€360.07,€/100Kg,Bulls,B R3
AT,Austria,01/12/2014,07/12/2014,49,€202.00,€/100Kg,Cows,D P2
AT,Austria,01/12/2014,07/12/2014,49,€355.18,€/100Kg,Young bulls,A O3
AT,Austria,01/12/2014,07/12/2014,49,€396.47,€/100Kg,Steers,C R3
AT,Austria,01/12/2014,07/12/2014,49,€353.20,€/100Kg,Heifers,E R3
AT,Austria,01/12/2014,07/12/2014,49,€364.68,€/100Kg,Steers,C O3
AT,Austria,01/12/2014,07/12/2014,49,€381.81,€/100Kg,Steers,C R4
AT,Austria,01/12/2014,07/12/2014,49,€413.56,€/100Kg,Steers,C U3
AT,Austria,01/12/2014,07/12/2014,49,€240.45,€/100Kg,Cows,D O3
AT,Austria,01/12/2014,07/12/2014,49,€270.30,€/100Kg,Cows,D R3
AT,Austria,01/12/2014,07/12/2014,49,€473.27,€/100Kg,Young cattle,Z U3
AT,Austria,01/12/2014,07/12/2014,49,€382.60,€/100Kg,Adult male indicative price,ACZ URO
AT,Austria,01/12/2014,07/12/2014,49,€369.77,€/100Kg,Heifers,E U3
AT,Austria,01/12/2014,07/12/2014,49,€347.63,€/100Kg,Young bulls,A O2
AT,Austria,01/12/2014,07/12/2014,49,€293.12,€/100Kg,Heifers,E O3
AT,Austria,01/12/2014,07/12/2014,49,€474.10,€/100Kg,Young cattle,Z U2
AT,Austria,01/12/2014,07/12/2014,49,€357.44,€/100Kg,Heifers,E U2
BE,Belgium,01/12/2014,07/12/2014,49,€628.00,€/100Kg,Calves slaughtered <8M,CALVES-LT8MONTHS
BE,Belgium,01/12/2014,07/12/2014,49,€255.67,€/100Kg,Young bulls,A O3
BE,Belgium,01/12/2014,07/12/2014,49,€276.05,€/100Kg,Young bulls,A R3
BE,Belgium,01/12/2014,07/12/2014,49,€332.17,€/100Kg,Adult male indicative price,ACZ URO
BE,Belgium,01/12/2014,07/12/2014,49,€386.00,€/100Kg,Heifers,E U3
BE,Belgium,01/12/2014,07/12/2014,49,€271.68,€/100Kg,Young bulls,A O2
BE,Belgium,01/12/2014,07/12/2014,49,€365.93,€/100Kg,Young bulls,A U2
BE,Belgium,01/12/2014,07/12/2014,49,€238.66,€/100Kg,Cows,D O3
BE,Belgium,01/12/2014,07/12/2014,49,€234.42,€/100Kg,Cows,D O4
BE,Belgium,01/12/2014,07/12/2014,49,€196.51,€/100Kg,Cows,D P2
BE,Belgium,01/12/2014,07/12/2014,49,€410.50,€/100Kg,Heifers,E U2
BE,Belgium,01/12/2014,07/12/2014,49,€335.50,€/100Kg,Heifers,E R2
BE,Belgium,01/12/2014,07/12/2014,49,€279.69,€/100Kg,Cows,D R3
BE,Belgium,01/12/2014,07/12/2014,49,€327.29,€/100Kg,Young bulls,A U3
BE,Belgium,01/12/2014,07/12/2014,49,€244.39,€/100Kg,Cows,D O2
BE,Belgium,01/12/2014,07/12/2014,49,€327.50,€/100Kg,Heifers,E R3
BE,Belgium,01/12/2014,07/12/2014,49,€315.25,€/100Kg,Young bulls,A R2
BE,Belgium,01/12/2014,07/12/2014,49,€184.74,€/100Kg,Cows,D P3
BG,Bulgaria,01/12/2014,07/12/2014,49,€196.93,€/100Kg,Cows,D P2
BG,Bulgaria,01/12/2014,07/12/2014,49,€221.74,€/100Kg,Cows,D P3
BG,Bulgaria,01/12/2014,07/12/2014,49,€319.24,€/100Kg,Young bulls,A O2
BG,Bulgaria,01/12/2014,07/12/2014,49,€235.86,€/100Kg,Young bulls,A O3
BG,Bulgaria,01/12/2014,07/12/2014,49,€221.74,€/100Kg,Cows,D O4
HR,Croatia,01/12/2014,07/12/2014,49,€336.92,€/100Kg,Young bulls,A R2
HR,Croatia,01/12/2014,07/12/2014,49,€356.20,€/100Kg,Heifers,E U2
HR,Croatia,01/12/2014,07/12/2014,49,€177.71,€/100Kg,Cows,D O2
HR,Croatia,01/12/2014,07/12/2014,49,€371.96,€/100Kg,Heifers,E O3
HR,Croatia,01/12/2014,07/12/2014,49,€336.26,€/100Kg,Young bulls,A O2
HR,Croatia,01/12/2014,07/12/2014,49,€354.50,€/100Kg,Heifers,E R3
HR,Croatia,01/12/2014,07/12/2014,49,€165.85,€/100Kg,Cows,D P2
HR,Croatia,01/12/2014,07/12/2014,49,€203.11,€/100Kg,Cows,D R3
HR,Croatia,01/12/2014,07/12/2014,49,€327.14,€/100Kg,Young bulls,A U2
HR,Croatia,01/12/2014,07/12/2014,49,€341.74,€/100Kg,Heifers,E R2
HR,Croatia,01/12/2014,07/12/2014,49,€322.71,€/100Kg,Bulls,B R3
HR,Croatia,01/12/2014,07/12/2014,49,€331.44,€/100Kg,Young bulls,A U3
HR,Croatia,01/12/2014,07/12/2014,49,€251.19,€/100Kg,Cows,D O4
HR,Croatia,01/12/2014,07/12/2014,49,€359.59,€/100Kg,Heifers,E U3
HR,Croatia,01/12/2014,07/12/2014,49,€323.88,€/100Kg,Adult male indicative price,ACZ URO
HR,Croatia,01/12/2014,07/12/2014,49,€519.18,€/100Kg,Young cattle,Z O2
HR,Croatia,01/12/2014,07/12/2014,49,€365.84,€/100Kg,Heifers,E R4
HR,Croatia,01/12/2014,07/12/2014,49,€369.36,€/100Kg,Heifers,E O2
HR,Croatia,01/12/2014,07/12/2014,49,€329.23,€/100Kg,Young bulls,A O3
HR,Croatia,01/12/2014,07/12/2014,49,€212.88,€/100Kg,Cows,D R4
HR,Croatia,01/12/2014,07/12/2014,49,€370.40,€/100Kg,Heifers,E O4
HR,Croatia,01/12/2014,07/12/2014,49,€337.31,€/100Kg,Young bulls,A R3
CY,Cyprus,01/12/2014,07/12/2014,49,€180.00,€/100Kg,Cows,D P3
CY,Cyprus,01/12/2014,07/12/2014,49,€350.00,€/100Kg,Young bulls,A O3
CY,Cyprus,01/12/2014,07/12/2014,49,€182.00,€/100Kg,Cows,D P2
CY,Cyprus,01/12/2014,07/12/2014,49,€350.00,€/100Kg,Young bulls,A O2
CZ,Czechia,01/12/2014,07/12/2014,49,€311.10,€/100Kg,Bulls,B R3
CZ,Czechia,01/12/2014,07/12/2014,49,€258.84,€/100Kg,Heifers,E R4
CZ,Czechia,01/12/2014,07/12/2014,49,€154.12,€/100Kg,Young cattle,Z O2
CZ,Czechia,01/12/2014,07/12/2014,49,€242.19,€/100Kg,Cows,D R3
CZ,Czechia,01/12/2014,07/12/2014,49,€227.93,€/100Kg,Heifers,E O2
CZ,Czechia,01/12/2014,07/12/2014,49,€267.99,€/100Kg,Heifers,E U2
CZ,Czechia,01/12/2014,07/12/2014,49,€239.33,€/100Kg,Heifers,E O3
CZ,Czechia,01/12/2014,07/12/2014,49,€239.29,€/100Kg,Heifers,E O4
CZ,Czechia,01/12/2014,07/12/2014,49,€258.58,€/100Kg,Heifers,E R3
CZ,Czechia,01/12/2014,07/12/2014,49,€298.69,€/100Kg,Young bulls,A O2
CZ,Czechia,01/12/2014,07/12/2014,49,€208.56,€/100Kg,Cows,D O3
CZ,Czechia,01/12/2014,07/12/2014,49,€274.33,€/100Kg,Heifers,E U3
CZ,Czechia,01/12/2014,07/12/2014,49,€233.83,€/100Kg,Cows,D R4
CZ,Czechia,01/12/2014,07/12/2014,49,€279.36,€/100Kg,Steers,C R3
CZ,Czechia,01/12/2014,07/12/2014,49,€210.84,€/100Kg,Cows,D O4
CZ,Czechia,01/12/2014,07/12/2014,49,€202.88,€/100Kg,Cows,D P3
CZ,Czechia,01/12/2014,07/12/2014,49,€329.20,€/100Kg,Young bulls,A U3
CZ,Czechia,01/12/2014,07/12/2014,49,€319.57,€/100Kg,Young bulls,A R3
CZ,Czechia,01/12/2014,07/12/2014,49,€324.21,€/100Kg,Young bulls,A U2
CZ,Czechia,01/12/2014,07/12/2014,49,€313.01,€/100Kg,Adult male indicative price,ACZ URO
CZ,Czechia,01/12/2014,07/12/2014,49,€170.59,€/100Kg,Cows,D P2
CZ,Czechia,01/12/2014,07/12/2014,49,€255.65,€/100Kg,Heifers,E R2
CZ,Czechia,01/12/2014,07/12/2014,49,€315.99,€/100Kg,Young bulls,A R2
CZ,Czechia,01/12/2014,07/12/2014,49,€196.69,€/100Kg,Cows,D O2
CZ,Czechia,01/12/2014,07/12/2014,49,€294.35,€/100Kg,Young bulls,A O3
CZ,Czechia,01/12/2014,07/12/2014,49,€327.72,€/100Kg,Young cattle,Z R2
DK,Denmark,01/12/2014,07/12/2014,49,€360.74,€/100Kg,Young cattle,Z O2
DK,Denmark,01/12/2014,07/12/2014,49,€305.50,€/100Kg,Steers,C O3
DK,Denmark,01/12/2014,07/12/2014,49,€249.58,€/100Kg,Cows,D P3
DK,Denmark,01/12/2014,07/12/2014,49,€260.74,€/100Kg,Bulls,B R3
DK,Denmark,01/12/2014,07/12/2014,49,€294.61,€/100Kg,Cows,D R4
DK,Denmark,01/12/2014,07/12/2014,49,€409.66,€/100Kg,Heifers,E U3
DK,Denmark,01/12/2014,07/12/2014,49,€347.70,€/100Kg,Young bulls,A O3
DK,Denmark,01/12/2014,07/12/2014,49,€362.62,€/100Kg,Young cattle,Z O3
