memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,30/11/2009,06/12/2009,49,"€130,61",100 KG,Average S + E
AT,Austria,30/11/2009,06/12/2009,49,"€130,61",100 KG,E
BE,Belgium,30/11/2009,06/12/2009,49,"€36,00",P,Piglet
BE,Belgium,30/11/2009,06/12/2009,49,"€125,30",100 KG,E
BE,Belgium,30/11/2009,06/12/2009,49,"€125,30",100 KG,Average S + E
BG,Bulgaria,30/11/2009,06/12/2009,49,"€168,33",100 KG,E
BG,Bulgaria,30/11/2009,06/12/2009,49,"€168,33",100 KG,Average S + E
CY,Cyprus,30/11/2009,06/12/2009,49,"€147,00",100 KG,E
CY,Cyprus,30/11/2009,06/12/2009,49,"€147,00",100 KG,Average S + E
CZ,Czechia,30/11/2009,06/12/2009,49,"€137,35",100 KG,E
CZ,Czechia,30/11/2009,06/12/2009,49,"€137,35",100 KG,Average S + E
CZ,Czechia,30/11/2009,06/12/2009,49,"€61,36",P,Piglet
DK,Denmark,30/11/2009,06/12/2009,49,"€117,58",100 KG,E
DK,Denmark,30/11/2009,06/12/2009,49,"€37,09",P,Piglet
DK,Denmark,30/11/2009,06/12/2009,49,"€117,58",100 KG,Average S + E
EU+UK,EU + UK,30/11/2009,06/12/2009,49,"€133,85",100 KG,E
EU+UK,EU + UK,30/11/2009,06/12/2009,49,"€40,84",P,Piglet
EU+UK,EU + UK,30/11/2009,06/12/2009,49,"€133,85",100 KG,Average S + E
EE,Estonia,30/11/2009,06/12/2009,49,"€142,46",100 KG,Average S + E
EE,Estonia,30/11/2009,06/12/2009,49,"€40,02",P,Piglet
EE,Estonia,30/11/2009,06/12/2009,49,"€142,46",100 KG,E
EU,European Union,30/11/2009,06/12/2009,49,"€133,40",100 KG,Average S + E
EU,European Union,30/11/2009,06/12/2009,49,"€133,40",100 KG,E
EU,European Union,30/11/2009,06/12/2009,49,"€40,43",P,Piglet
FI,Finland,30/11/2009,06/12/2009,49,"€137,30",100 KG,E
FI,Finland,30/11/2009,06/12/2009,49,"€137,30",100 KG,Average S + E
FI,Finland,30/11/2009,06/12/2009,49,"€48,54",P,Piglet
FR,France,30/11/2009,06/12/2009,49,"€27,00",P,Piglet
FR,France,30/11/2009,06/12/2009,49,"€119,00",100 KG,Average S + E
FR,France,30/11/2009,06/12/2009,49,"€119,00",100 KG,E
DE,Germany,30/11/2009,06/12/2009,49,"€136,69",100 KG,E
DE,Germany,30/11/2009,06/12/2009,49,"€136,69",100 KG,Average S + E
DE,Germany,30/11/2009,06/12/2009,49,"€51,30",P,Piglet
EL,Greece,30/11/2009,06/12/2009,49,"€164,82",100 KG,Average S + E
EL,Greece,30/11/2009,06/12/2009,49,"€164,82",100 KG,E
HU,Hungary,30/11/2009,06/12/2009,49,"€45,22",P,Piglet
HU,Hungary,30/11/2009,06/12/2009,49,"€141,84",100 KG,E
HU,Hungary,30/11/2009,06/12/2009,49,"€141,84",100 KG,Average S + E
IE,Ireland,30/11/2009,06/12/2009,49,"€120,41",100 KG,E
IE,Ireland,30/11/2009,06/12/2009,49,"€120,41",100 KG,Average S + E
IT,Italy,30/11/2009,06/12/2009,49,"€54,21",P,Piglet
IT,Italy,30/11/2009,06/12/2009,49,"€158,36",100 KG,Average S + E
IT,Italy,30/11/2009,06/12/2009,49,"€158,36",100 KG,E
LV,Latvia,30/11/2009,06/12/2009,49,"€146,64",100 KG,E
LV,Latvia,30/11/2009,06/12/2009,49,"€146,64",100 KG,Average S + E
LT,Lithuania,30/11/2009,06/12/2009,49,"€145,03",100 KG,Average S + E
LT,Lithuania,30/11/2009,06/12/2009,49,"€145,03",100 KG,E
LU,Luxembourg,30/11/2009,06/12/2009,49,"€138,40",100 KG,Average S + E
LU,Luxembourg,30/11/2009,06/12/2009,49,"€138,40",100 KG,E
LU,Luxembourg,30/11/2009,06/12/2009,49,"€40,00",P,Piglet
MT,Malta,30/11/2009,06/12/2009,49,"€182,00",100 KG,Average S + E
MT,Malta,30/11/2009,06/12/2009,49,"€182,00",100 KG,E
MT,Malta,30/11/2009,06/12/2009,49,"€80,00",P,Piglet
NL,Netherlands,30/11/2009,06/12/2009,49,"€27,50",P,Piglet
NL,Netherlands,30/11/2009,06/12/2009,49,"€123,36",100 KG,E
NL,Netherlands,30/11/2009,06/12/2009,49,"€123,36",100 KG,Average S + E
PL,Poland,30/11/2009,06/12/2009,49,"€127,84",100 KG,Average S + E
