memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,category,productCode
AT,Austria,30/11/2015,06/12/2015,49,€364.26,€/100Kg,Heifers,E U3
AT,Austria,30/11/2015,06/12/2015,49,€355.30,€/100Kg,Heifers,E R3
AT,Austria,30/11/2015,06/12/2015,49,€271.88,€/100Kg,Cows,D R4
AT,Austria,30/11/2015,06/12/2015,49,€268.58,€/100Kg,Heifers,E O4
AT,Austria,30/11/2015,06/12/2015,49,€378.31,€/100Kg,Heifers,E U2
AT,Austria,30/11/2015,06/12/2015,49,€452.33,€/100Kg,Young cattle,Z R2
AT,Austria,30/11/2015,06/12/2015,49,€362.52,€/100Kg,Steers,C O4
AT,Austria,30/11/2015,06/12/2015,49,€406.68,€/100Kg,Steers,C R3
AT,Austria,30/11/2015,06/12/2015,49,€350.18,€/100Kg,Heifers,E R2
AT,Austria,30/11/2015,06/12/2015,49,€348.69,€/100Kg,Heifers,E R4
AT,Austria,30/11/2015,06/12/2015,49,€407.71,€/100Kg,Steers,C U2
AT,Austria,30/11/2015,06/12/2015,49,€407.82,€/100Kg,Young bulls,A U3
AT,Austria,30/11/2015,06/12/2015,49,€237.97,€/100Kg,Cows,D O2
AT,Austria,30/11/2015,06/12/2015,49,€245.96,€/100Kg,Cows,D O3
AT,Austria,30/11/2015,06/12/2015,49,€212.79,€/100Kg,Cows,D P3
AT,Austria,30/11/2015,06/12/2015,49,€296.71,€/100Kg,Heifers,E O3
AT,Austria,30/11/2015,06/12/2015,49,€396.08,€/100Kg,Young bulls,A R2
AT,Austria,30/11/2015,06/12/2015,49,€340.26,€/100Kg,Bulls,B R3
AT,Austria,30/11/2015,06/12/2015,49,€361.35,€/100Kg,Steers,C O3
AT,Austria,30/11/2015,06/12/2015,49,€389.40,€/100Kg,Adult male indicative price,ACZ URO
AT,Austria,30/11/2015,06/12/2015,49,€247.67,€/100Kg,Cows,D O4
AT,Austria,30/11/2015,06/12/2015,49,€275.66,€/100Kg,Heifers,E O2
AT,Austria,30/11/2015,06/12/2015,49,€365.60,€/100Kg,Young bulls,A O3
AT,Austria,30/11/2015,06/12/2015,49,€401.94,€/100Kg,Young bulls,A R3
AT,Austria,30/11/2015,06/12/2015,49,€405.58,€/100Kg,Young bulls,A U2
AT,Austria,30/11/2015,06/12/2015,49,€209.61,€/100Kg,Cows,D P2
AT,Austria,30/11/2015,06/12/2015,49,€271.96,€/100Kg,Cows,D R3
AT,Austria,30/11/2015,06/12/2015,49,€385.91,€/100Kg,Young cattle,Z O2
AT,Austria,30/11/2015,06/12/2015,49,€355.31,€/100Kg,Young bulls,A O2
AT,Austria,30/11/2015,06/12/2015,49,€420.32,€/100Kg,Steers,C U3
AT,Austria,30/11/2015,06/12/2015,49,€455.88,€/100Kg,Young cattle,Z R3
AT,Austria,30/11/2015,06/12/2015,49,€478.62,€/100Kg,Young cattle,Z U3
AT,Austria,30/11/2015,06/12/2015,49,€414.66,€/100Kg,Steers,C U4
AT,Austria,30/11/2015,06/12/2015,49,€479.23,€/100Kg,Young cattle,Z U2
