memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,category,productCode
AT,Austria,05/12/2016,11/12/2016,49,€281.46,€/100Kg,Heifers,E O3
AT,Austria,05/12/2016,11/12/2016,49,€379.16,€/100Kg,Adult male indicative price,ACZ URO
AT,Austria,05/12/2016,11/12/2016,49,€428.10,€/100Kg,Steers,C U2
AT,Austria,05/12/2016,11/12/2016,49,€255.83,€/100Kg,Cows,D O4
AT,Austria,05/12/2016,11/12/2016,49,€272.18,€/100Kg,Cows,D R3
AT,Austria,05/12/2016,11/12/2016,49,€391.05,€/100Kg,Young bulls,A R3
AT,Austria,05/12/2016,11/12/2016,49,€432.00,€/100Kg,Steers,C U4
AT,Austria,05/12/2016,11/12/2016,49,€352.12,€/100Kg,Heifers,E R3
AT,Austria,05/12/2016,11/12/2016,49,€441.02,€/100Kg,Young cattle,Z R2
AT,Austria,05/12/2016,11/12/2016,49,€431.90,€/100Kg,Steers,C U3
AT,Austria,05/12/2016,11/12/2016,49,€291.87,€/100Kg,Heifers,E O4
AT,Austria,05/12/2016,11/12/2016,49,€360.34,€/100Kg,Heifers,E U3
AT,Austria,05/12/2016,11/12/2016,49,€450.74,€/100Kg,Young cattle,Z R3
AT,Austria,05/12/2016,11/12/2016,49,€355.01,€/100Kg,Bulls,B R3
AT,Austria,05/12/2016,11/12/2016,49,€209.34,€/100Kg,Cows,D P3
AT,Austria,05/12/2016,11/12/2016,49,€340.08,€/100Kg,Heifers,E R2
AT,Austria,05/12/2016,11/12/2016,49,€363.08,€/100Kg,Heifers,E U2
AT,Austria,05/12/2016,11/12/2016,49,€390.05,€/100Kg,Steers,C R3
AT,Austria,05/12/2016,11/12/2016,49,€336.64,€/100Kg,Young bulls,A O3
AT,Austria,05/12/2016,11/12/2016,49,€340.76,€/100Kg,Heifers,E R4
AT,Austria,05/12/2016,11/12/2016,49,€276.36,€/100Kg,Cows,D R4
AT,Austria,05/12/2016,11/12/2016,49,€384.67,€/100Kg,Young bulls,A R2
AT,Austria,05/12/2016,11/12/2016,49,€394.99,€/100Kg,Young bulls,A U2
AT,Austria,05/12/2016,11/12/2016,49,€243.49,€/100Kg,Cows,D O2
AT,Austria,05/12/2016,11/12/2016,49,€250.54,€/100Kg,Cows,D O3
AT,Austria,05/12/2016,11/12/2016,49,€312.00,€/100Kg,Young cattle,Z O2
AT,Austria,05/12/2016,11/12/2016,49,€481.69,€/100Kg,Young cattle,Z U2
AT,Austria,05/12/2016,11/12/2016,49,€373.00,€/100Kg,Steers,C R4
AT,Austria,05/12/2016,11/12/2016,49,€207.12,€/100Kg,Cows,D P2
AT,Austria,05/12/2016,11/12/2016,49,€337.69,€/100Kg,Young bulls,A O2
AT,Austria,05/12/2016,11/12/2016,49,€398.64,€/100Kg,Young bulls,A U3
AT,Austria,05/12/2016,11/12/2016,49,€262.00,€/100Kg,Heifers,E O2
AT,Austria,05/12/2016,11/12/2016,49,€485.51,€/100Kg,Young cattle,Z U3
AT,Austria,05/12/2016,11/12/2016,49,€351.40,€/100Kg,Steers,C O3
BE,Belgium,05/12/2016,11/12/2016,49,€290.20,€/100Kg,Young bulls,A R3
BE,Belgium,05/12/2016,11/12/2016,49,€289.43,€/100Kg,Cows,D R3
BE,Belgium,05/12/2016,11/12/2016,49,€351.00,€/100Kg,Heifers,E U3
BE,Belgium,05/12/2016,11/12/2016,49,€212.29,€/100Kg,Cows,D P2
BE,Belgium,05/12/2016,11/12/2016,49,€280.42,€/100Kg,Young bulls,A O2
BE,Belgium,05/12/2016,11/12/2016,49,€307.00,€/100Kg,Heifers,E R3
BE,Belgium,05/12/2016,11/12/2016,49,€597.55,€/100Kg,Calves slaughtered <8M,CALVES-LT8MONTHS
BE,Belgium,05/12/2016,11/12/2016,49,€318.50,€/100Kg,Heifers,E R2
BE,Belgium,05/12/2016,11/12/2016,49,€333.01,€/100Kg,Adult male indicative price,ACZ URO
BE,Belgium,05/12/2016,11/12/2016,49,€250.46,€/100Kg,Cows,D O4
BE,Belgium,05/12/2016,11/12/2016,49,€262.55,€/100Kg,Young bulls,A O3
BE,Belgium,05/12/2016,11/12/2016,49,€248.47,€/100Kg,Cows,D O3
BE,Belgium,05/12/2016,11/12/2016,49,€316.69,€/100Kg,Young bulls,A R2
BE,Belgium,05/12/2016,11/12/2016,49,€360.34,€/100Kg,Young bulls,A U2
BE,Belgium,05/12/2016,11/12/2016,49,€338.35,€/100Kg,Young bulls,A U3
BE,Belgium,05/12/2016,11/12/2016,49,€204.08,€/100Kg,Cows,D P3
BE,Belgium,05/12/2016,11/12/2016,49,€372.50,€/100Kg,Heifers,E U2
BE,Belgium,05/12/2016,11/12/2016,49,€257.63,€/100Kg,Cows,D O2
BG,Bulgaria,05/12/2016,11/12/2016,49,€192.22,€/100Kg,Cows,D O3
BG,Bulgaria,05/12/2016,11/12/2016,49,€251.02,€/100Kg,Cows,D R4
BG,Bulgaria,05/12/2016,11/12/2016,49,€251.02,€/100Kg,Young cattle,Z O2
BG,Bulgaria,05/12/2016,11/12/2016,49,€193.04,€/100Kg,Cows,D P3
BG,Bulgaria,05/12/2016,11/12/2016,49,€245.21,€/100Kg,Young bulls,A O2
BG,Bulgaria,05/12/2016,11/12/2016,49,€251.02,€/100Kg,Heifers,E O3
BG,Bulgaria,05/12/2016,11/12/2016,49,€251.02,€/100Kg,Young bulls,A O3
BG,Bulgaria,05/12/2016,11/12/2016,49,€193.04,€/100Kg,Cows,D O4
BG,Bulgaria,05/12/2016,11/12/2016,49,€181.35,€/100Kg,Cows,D P2
HR,Croatia,05/12/2016,11/12/2016,49,€346.56,€/100Kg,Young bulls,A R2
HR,Croatia,05/12/2016,11/12/2016,49,€188.40,€/100Kg,Cows,D P2
HR,Croatia,05/12/2016,11/12/2016,49,€361.02,€/100Kg,Heifers,E U3
HR,Croatia,05/12/2016,11/12/2016,49,€350.14,€/100Kg,Young bulls,A R3
HR,Croatia,05/12/2016,11/12/2016,49,€357.57,€/100Kg,Heifers,E R3
HR,Croatia,05/12/2016,11/12/2016,49,€352.13,€/100Kg,Young bulls,A O3
HR,Croatia,05/12/2016,11/12/2016,49,€351.20,€/100Kg,Young bulls,A U2
