memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
AT,Austria,01/12/2014,07/12/2014,49,"€155,14",100 KG,Average S + E
AT,Austria,01/12/2014,07/12/2014,49,"€159,27",100 KG,S
AT,Austria,01/12/2014,07/12/2014,49,"€147,00",100 KG,E
BE,Belgium,01/12/2014,07/12/2014,49,"€125,23",100 KG,Average S + E
BE,Belgium,01/12/2014,07/12/2014,49,"€29,00",P,Piglet
BE,Belgium,01/12/2014,07/12/2014,49,"€126,40",100 KG,S
BE,Belgium,01/12/2014,07/12/2014,49,"€118,20",100 KG,E
BG,Bulgaria,01/12/2014,07/12/2014,49,"€177,57",100 KG,E
BG,Bulgaria,01/12/2014,07/12/2014,49,"€177,57",100 KG,Average S + E
HR,Croatia,01/12/2014,07/12/2014,49,"€157,38",100 KG,Average S + E
HR,Croatia,01/12/2014,07/12/2014,49,"€155,56",100 KG,E
HR,Croatia,01/12/2014,07/12/2014,49,"€45,10",P,Piglet
HR,Croatia,01/12/2014,07/12/2014,49,"€159,73",100 KG,S
CY,Cyprus,01/12/2014,07/12/2014,49,"€217,00",100 KG,Average S + E
CY,Cyprus,01/12/2014,07/12/2014,49,"€217,00",100 KG,E
CZ,Czechia,01/12/2014,07/12/2014,49,"€143,99",100 KG,Average S + E
CZ,Czechia,01/12/2014,07/12/2014,49,"€142,79",100 KG,E
CZ,Czechia,01/12/2014,07/12/2014,49,"€146,96",100 KG,S
DK,Denmark,01/12/2014,07/12/2014,49,"€140,62",100 KG,Average S + E
DK,Denmark,01/12/2014,07/12/2014,49,"€142,47",100 KG,S
DK,Denmark,01/12/2014,07/12/2014,49,"€42,20",P,Piglet
DK,Denmark,01/12/2014,07/12/2014,49,"€137,76",100 KG,E
EU+UK,EU + UK,01/12/2014,07/12/2014,49,"€139,43",100 KG,Average S + E
EU+UK,EU + UK,01/12/2014,07/12/2014,49,"€137,32",100 KG,E
EU+UK,EU + UK,01/12/2014,07/12/2014,49,"€36,66",P,Piglet
